date,cno_price,cpo_price_lag1,cpo_price_lag2,cpo_price_lag3,cpo_price_lag4,usd_php_lag1,usd_php_lag2,usd_php_lag3,usd_php_lag4,oni_lag1,copra_farmgate_lag1,copra_farmgate_lag2,copra_farmgate_lag3,copra_farmgate_lag4,coconut_prod_lag1,coconut_prod_lag2,coconut_prod_lag3,coconut_prod_lag4,coconut_prod_lag5,coconut_prod_lag6,scfm,scfm_lag1,scfm_mean6,scfm_dev,target_next_cno_log_return,target_next_cno_direction
2010-12-01,993.0,1065.875,965.6,859.875,827.35,43.87875,43.065000000000005,43.917500000000004,44.943,-1.64,29.62,27.62,24.83,22.78,4024607.15,4024607.15,4032257.3,4032257.3,4032257.3,3564582.99,-139.49526857244155,-78.0255390983358,43.068504249507725,-182.56377282194927,0.03755381997178731,1
2011-01-01,1031.0,1186.875,1065.875,965.6,859.875,43.9125,43.87875,43.065000000000005,43.917500000000004,-1.54,32.66,29.62,27.62,24.83,4024607.15,4024607.15,4024607.15,4032257.3,4032257.3,4032257.3,-187.55837953361424,-139.49526857244155,-0.3061485749735387,-187.2522309586407,0.12647454377484182,1
2011-02-01,1170.0,1226.0,1186.875,1065.875,965.6,44.154,43.9125,43.87875,43.065000000000005,-1.31,40.41,32.66,29.62,27.62,3350281.44,4024607.15,4024607.15,4024607.15,4032257.3,4032257.3,-421.70773073463647,-187.55837953361424,-52.70461907894995,-369.0031116556865,0.08594242980072463,1
2011-03-01,1275.0,1237.3125,1226.0,1186.875,1065.875,43.557500000000005,44.154,43.9125,43.87875,-1.04,43.16,40.41,32.66,29.62,3350281.44,3350281.44,4024607.15,4024607.15,4024607.15,4032257.3,-402.81608237241585,-421.70773073463647,-134.95986101619386,-267.856221356222,0.10206096046066084,1
2011-04-01,1412.0,1114.0625,1237.3125,1226.0,1186.875,43.4275,43.557500000000005,44.154,43.9125,-0.8,35.77,43.16,40.41,32.66,3350281.44,3350281.44,3350281.44,4024607.15,4024607.15,4024607.15,-32.4152962472574,-402.81608237241585,-201.0048032442506,168.5895069969932,0.06842613868629095,1
2011-05-01,1512.0,1114.9375,1114.0625,1237.3125,1226.0,43.035,43.4275,43.557500000000005,44.154,-0.62,39.31,35.77,43.16,40.41,3445440.62,3350281.44,3350281.44,3350281.44,4024607.15,4024607.15,-37.908804387717055,-32.4152962472574,-210.33638275978356,172.4275783720665,0.125979802860562,1
2011-06-01,1715.0,1107.5,1114.9375,1114.0625,1237.3125,43.171,43.035,43.4275,43.557500000000005,-0.46,39.63,39.31,35.77,43.16,3445440.62,3445440.62,3350281.44,3350281.44,3350281.44,4024607.15,54.89310174047614,-37.908804387717055,-203.65026030801377,258.54336204848994,0.17255585418262984,1
2011-07-01,2038.0,1039.875,1107.5,1114.9375,1114.0625,43.32875,43.171,43.035,43.4275,-0.37,35.24,39.63,39.31,35.77,3445440.62,3445440.62,3445440.62,3350281.44,3350281.44,3350281.44,424.02096329785786,54.89310174047614,-171.25219858919414,595.273161887052,0.10162439883527938,1
2011-08-01,2256.0,1033.35,1039.875,1107.5,1114.9375,42.561,43.32875,43.171,43.035,-0.43,31.94,35.24,39.63,39.31,4021983.62,3445440.62,3445440.62,3445440.62,3350281.44,3350281.44,846.8058857072742,424.02096329785786,-69.32230811728213,916.1281938245563,-0.15866736589606495,0
2011-09-01,1925.0,1008.6875,1033.35,1039.875,1107.5,42.45875,42.561,43.32875,43.171,-0.58,24.33,31.94,35.24,39.63,4021983.62,4021983.62,3445440.62,3445440.62,3445440.62,3350281.44,1346.433712272556,846.8058857072742,142.09662795636964,1204.3370843161863,0.08175951483468126,1
2011-10-01,2089.0,966.5,1008.6875,1033.35,1039.875,43.2725,42.45875,42.561,43.32875,-0.79,23.57,24.33,31.94,35.24,4021983.62,4021983.62,4021983.62,3445440.62,3445440.62,3445440.62,1060.4162941198588,1346.433712272556,433.63826039719834,626.7780337226604,0.0038222693453541894,1
