date,cno_price
2010-05-01,729.0
2010-06-01,768.0
2010-07-01,784.0
2010-08-01,798.0
2010-09-01,921.0
2010-10-01,940.0
2010-11-01,932.0
2010-12-01,993.0
2011-01-01,1031.0
2011-02-01,1170.0
2011-03-01,1275.0
2011-04-01,1412.0
2011-05-01,1512.0
2011-06-01,1715.0
2011-07-01,2038.0
2011-08-01,2256.0
2011-09-01,1925.0
2011-10-01,2089.0
2011-12-01,2097.0
2012-01-01,1803.0
2012-02-01,1662.0
2012-03-01,1454.0
2012-04-01,1305.0
2012-05-01,1208.0
2012-06-01,1479.0
2012-07-01,1445.0
2012-08-01,1451.0
2012-09-01,1411.0
2012-10-01,1338.0
2012-11-01,1348.0
2012-12-01,1155.0
2013-01-01,1058.0
2013-02-01,1070.0
2013-03-01,1001.0
2013-04-01,967.0
2013-05-01,898.0
2013-06-01,848.0
2013-07-01,785.0
2013-09-01,828.64
2013-10-01,853.25
2013-11-01,818.75
2013-12-01,791.43
2014-01-01,822.5
2014-02-01,890.63
2014-03-01,860.43
2014-04-01,892.61
2014-05-01,985.24
2014-06-01,985.65
2014-07-01,1274.5
2014-08-01,1270.0
2014-09-01,1269.09
2014-10-01,1364.0
2014-11-01,1389.05
2014-12-01,1356.13
2015-01-01,1413.25
2015-02-01,1393.25
2015-03-01,1255.22
2015-05-01,1187.62
2015-06-01,1193.41
2015-07-01,1148.7
2015-08-01,1191.63
2015-09-01,1212.14
2015-10-01,1145.71
2015-11-01,1160.5
2015-12-01,1090.68
2016-01-01,1077.5
2016-02-01,1131.94
2016-03-01,1123.64
2016-04-01,1103.04
2016-05-01,1032.38
2016-06-01,1051.59
2016-07-01,1104.09
2016-08-01,1071.07
2016-09-01,1150.0
2016-10-01,1152.0
2016-11-01,1218.93
2016-12-01,1440.48
2017-01-01,1580.95
2017-03-01,1439.5
2017-04-01,1547.95
2017-05-01,1515.0
2017-06-01,1575.0
2017-07-01,1557.39
2017-08-01,1473.57
2017-09-01,1553.41
2017-10-01,1727.14
2017-11-01,1818.64
2017-12-01,1688.25
2018-01-01,1542.39
2018-02-01,1589.72
2018-03-01,1719.29
2018-04-01,1869.76
2018-05-01,1644.05
2018-06-01,1845.0
2018-07-01,1600.95
2018-08-01,1484.77
2018-10-01,1554.32
2018-11-01,1450.66
2018-12-01,1393.86
2019-01-01,1244.25
2019-02-01,1118.63
2019-03-01,1131.18
2019-04-01,1027.75
2019-05-01,931.19
2019-06-01,916.25
2019-07-01,915.22
2019-08-01,897.13
2019-09-01,830.25
2019-10-01,759.26
2019-11-01,796.27
2019-12-01,773.07
2020-01-01,710.43
2020-02-01,678.56
2020-03-01,668.63
2020-04-01,661.17
2020-05-01,635.6
2020-07-01,657.31
2020-08-01,719.28
2020-09-01,724.03
2020-10-01,719.52
2020-11-01,848.92
2020-12-01,1031.29
2021-01-01,1003.72
2021-02-01,844.12
2021-03-01,837.72
2021-04-01,834.51
2021-05-01,832.33
2021-06-01,916.38
2021-07-01,888.31
2021-08-01,981.3
2021-09-01,1034.18
2021-10-01,1118.36
2021-11-01,1368.95
2021-12-01,1464.96
2022-01-01,1463.07
2022-03-01,1444.5
2022-04-01,1540.65
2022-05-01,1659.64
2022-06-01,1715.24
2022-07-01,1670.68
2022-08-01,1584.09
2022-09-01,1493.64
2022-10-01,1485.0
2022-11-01,1922.86
2022-12-01,1960.68
2023-01-01,1695.71
2023-02-01,2016.14
2023-03-01,2147.89
2023-04-01,2230.22
2023-05-01,2094.61
2023-06-01,1813.33
2023-07-01,1700.5
2023-08-01,1540.53
2023-09-01,1384.57
2023-10-01,1248.1
2023-12-01,1108.1
2024-01-01,1173.25
2024-02-01,1158.41
2024-03-01,1078.5
2024-04-01,1086.67
2024-05-01,1114.75
2024-06-01,1073.95
2024-07-01,1047.69
2024-08-01,1012.73
2024-09-01,1047.38
2024-10-01,1099.09
2024-11-01,1071.67
2024-12-01,1046.43
2025-01-01,1114.55
2025-02-01,1108.81
2025-03-01,1130.57
2025-04-01,1171.58
2025-05-01,1287.86
2025-06-01,1425.23
2025-08-01,1401.74
2025-09-01,1397.89
2025-10-01,1474.35
2025-11-01,1618.64
2025-12-01,1735.75
