date,cpo_price
2010-05-30,731.5
2010-06-06,723.0
2010-06-13,737.25
2010-06-20,736.5
2010-06-27,723.0
2010-07-04,716.0
2010-07-11,758.0
2010-07-18,777.25
2010-07-25,792.25
2010-08-01,837.0
2010-08-08,851.5
2010-08-15,806.75
2010-08-22,810.5
2010-08-29,831.0
2010-09-05,846.75
2010-09-12,847.5
2010-09-19,889.25
2010-09-26,856.0
2010-10-03,890.5
2010-10-10,943.75
2010-10-17,955.0
2010-10-24,987.75
2010-10-31,1051.0
2010-11-07,1077.75
2010-11-14,1033.0
2010-11-21,1026.0
2010-11-28,1126.75
2010-12-05,1158.5
2010-12-12,1126.75
2010-12-19,1188.5
2010-12-26,1273.75
2011-01-02,1230.25
2011-01-09,1204.5
2011-01-16,1236.25
2011-01-23,1218.5
2011-01-30,1240.5
2011-02-06,1299.0
2011-02-13,1251.25
2011-02-20,1187.25
2011-02-27,1211.75
2011-03-06,1106.75
2011-03-13,1131.25
2011-03-20,1110.25
2011-03-27,1108.0
2011-04-03,1132.0
2011-04-10,1101.25
2011-04-17,1097.75
2011-04-24,1128.75
2011-05-01,1082.25
2011-05-08,1086.75
2011-05-15,1117.0
2011-05-22,1129.5
2011-05-29,1122.0
2011-06-05,1073.75
2011-06-12,1090.0
2011-06-19,989.25
2011-06-26,1006.5
2011-07-03,1027.5
2011-07-10,1025.25
2011-07-17,1052.75
2011-07-24,1047.0
2011-07-31,1014.25
2011-08-07,1008.25
2011-08-14,1004.75
2011-08-21,994.5
2011-08-28,1027.25
2011-09-04,1020.5
2011-09-11,993.75
2011-09-18,941.5
2011-09-25,910.25
2011-10-02,875.75
2011-10-09,906.0
2011-10-16,914.75
2011-10-23,965.75
2011-10-30,960.5
2011-11-06,994.75
2011-11-13,1009.0
2011-11-20,955.0
2011-11-27,982.75
2011-12-04,953.75
2011-12-11,938.75
2011-12-18,956.0
2011-12-25,1003.25
2012-01-01,1019.75
2012-01-08,1018.75
2012-01-15,1002.0
2012-01-22,1026.0
2012-01-29,1025.75
2012-02-05,1035.5
2012-02-12,1061.5
2012-02-19,1090.0
2012-02-26,1086.25
2012-03-04,1116.25
