date,coconut_prod
2010-05-01,3564582.99
2010-06-01,3564582.99
2010-07-01,4032257.3
2010-08-01,4032257.3
2010-09-01,4032257.3
2010-10-01,4024607.15
2010-11-01,4024607.15
2010-12-01,4024607.15
2011-01-01,3350281.44
2011-02-01,3350281.44
2011-03-01,3350281.44
2011-04-01,3445440.62
2011-05-01,3445440.62
2011-06-01,3445440.62
2011-07-01,4021983.62
2011-08-01,4021983.62
2011-09-01,4021983.62
2011-10-01,4115636.02
2011-11-01,4115636.02
2011-12-01,4115636.02
2012-01-01,3534459.22
2012-02-01,3534459.22
2012-03-01,3534459.22
2012-04-01,3608390.69
2012-05-01,3608390.69
2012-06-01,3608390.69
2012-07-01,4210921.49
2012-08-01,4210921.49
2012-09-01,4210921.49
2012-10-01,4175047.62
2012-11-01,4175047.62
2012-12-01,4175047.62
2013-01-01,3495106.79
2013-02-01,3495106.79
2013-03-01,3495106.79
2013-04-01,3517432.32
2013-05-01,3517432.32
2013-06-01,3517432.32
2013-07-01,4077913.33
2013-08-01,4077913.33
2013-09-01,4077913.33
2013-10-01,3926833.75
2013-11-01,3926833.75
2013-12-01,3926833.75
2014-01-01,3253712.93
2014-02-01,3253712.93
2014-03-01,3253712.93
2014-04-01,3353520.98
2014-05-01,3353520.98
2014-06-01,3353520.98
2014-07-01,3864424.09
2014-08-01,3864424.09
2014-09-01,3864424.09
2014-10-01,3896935.72
2014-11-01,3896935.72
2014-12-01,3896935.72
2015-01-01,3269446.56
2015-02-01,3269446.56
2015-03-01,3269446.56
2015-04-01,3344517.93
2015-05-01,3344517.93
2015-06-01,3344517.93
2015-07-01,3895848.75
2015-08-01,3895848.75
2015-09-01,3895848.75
2015-10-01,3891267.63
2015-11-01,3891267.63
2015-12-01,3891267.63
2016-01-01,3118481.7
2016-02-01,3118481.7
2016-03-01,3118481.7
2016-04-01,3105445.76
2016-05-01,3105445.76
2016-06-01,3105445.76
2016-07-01,3599155.36
2016-08-01,3599155.36
2016-09-01,3599155.36
2016-10-01,3662430.87
2016-11-01,3662430.87
2016-12-01,3662430.87
2017-01-01,2987666.26
2017-02-01,2987666.26
2017-03-01,2987666.26
2017-04-01,3122630.66
2017-05-01,3122630.66
2017-06-01,3122630.66
2017-07-01,3741924.68
2017-08-01,3741924.68
2017-09-01,3741924.68
2017-10-01,3834414.19
2017-11-01,3834414.19
2017-12-01,3834414.19
2018-01-01,3216923.87
2018-02-01,3216923.87
2018-03-01,3216923.87
2018-04-01,3250790.75
2018-05-01,3250790.75
2018-06-01,3250790.75
2018-07-01,3930523.0
2018-08-01,3930523.0
2018-09-01,3930523.0
2018-10-01,3954103.0
2018-11-01,3954103.0
2018-12-01,3954103.0
2019-01-01,3216194.33
2019-02-01,3216194.33
2019-03-01,3216194.33
2019-04-01,3226544.1
2019-05-01,3226544.1
2019-06-01,3226544.1
2019-07-01,3957577.12
2019-08-01,3957577.12
2019-09-01,3957577.12
2019-10-01,3974520.04
2019-11-01,3974520.04
2019-12-01,3974520.04
2020-01-01,3074815.87
2020-02-01,3074815.87
2020-03-01,3074815.87
2020-04-01,3166330.54
2020-05-01,3166330.54
2020-06-01,3166330.54
2020-07-01,3897808.58
2020-08-01,3897808.58
2020-09-01,3897808.58
2020-10-01,3957818.98
2020-11-01,3957818.98
2020-12-01,3957818.98
2021-01-01,3050782.3
2021-02-01,3050782.3
2021-03-01,3050782.3
2021-04-01,3195976.84
2021-05-01,3195976.84
2021-06-01,3195976.84
2021-07-01,3974567.94
2021-08-01,3974567.94
2021-09-01,3974567.94
2021-10-01,4099874.75
2021-11-01,4099874.75
2021-12-01,4099874.75
2022-01-01,3116932.83
2022-02-01,3116932.83
2022-03-01,3116932.83
2022-04-01,3262783.79
2022-05-01,3262783.79
2022-06-01,3262783.79
2022-07-01,4016186.92
2022-08-01,4016186.92
2022-09-01,4016186.92
2022-10-01,4136614.24
2022-11-01,4136614.24
2022-12-01,4136614.24
2023-01-01,3160829.35
2023-02-01,3160829.35
2023-03-01,3160829.35
2023-04-01,3302261.86
2023-05-01,3302261.86
2023-06-01,3302261.86
2023-07-01,3951409.9
2023-08-01,3951409.9
2023-09-01,3951409.9
2023-10-01,4051884.41
2023-11-01,4051884.41
2023-12-01,4051884.41
2024-01-01,3049947.29
2024-02-01,3049947.29
2024-03-01,3049947.29
2024-04-01,3171843.39
2024-05-01,3171843.39
2024-06-01,3171843.39
2024-07-01,3947638.97
2024-08-01,3947638.97
2024-09-01,3947638.97
2024-10-01,3905697.16
2024-11-01,3905697.16
2024-12-01,3905697.16
2025-01-01,3045870.32
2025-02-01,3045870.32
2025-03-01,3045870.32
2025-04-01,3265637.92
2025-05-01,3265637.92
2025-06-01,3265637.92
2025-07-01,3852636.86
2025-08-01,3852636.86
2025-09-01,3852636.86
2025-10-01,3912106.23
