date,usd_php
2010-05-02,45.675
2010-05-09,45.16
2010-05-16,46.585
2010-05-23,46.145
2010-05-30,46.735
2010-06-06,46.415
2010-06-13,45.8
2010-06-20,46.175
2010-06-27,46.59
2010-07-04,46.23
2010-07-11,46.485
2010-07-18,46.335
2010-07-25,45.495
2010-08-01,44.835
2010-08-08,45.285
2010-08-15,45.135
2010-08-22,44.985
2010-08-29,44.475
2010-09-05,43.905
2010-09-12,44.215
2010-09-19,43.805
2010-09-26,43.745
2010-10-03,43.27
2010-10-10,43.34
2010-10-17,43.185
2010-10-24,42.9
2010-10-31,42.63
2010-11-07,43.925
2010-11-14,43.7
2010-11-21,44.15
2010-11-28,43.74
2010-12-05,43.685
2010-12-12,44.28
2010-12-19,44.04
2010-12-26,43.645
2011-01-02,44.2
2011-01-09,44.32
2011-01-16,44.45
2011-01-23,44.1
2011-01-30,43.7
2011-02-06,43.805
2011-02-13,43.38
2011-02-20,43.77
2011-02-27,43.275
2011-03-06,43.59
2011-03-13,43.57
2011-03-20,43.25
2011-03-27,43.3
2011-04-03,42.9
2011-04-10,43.26
2011-04-17,43.175
2011-04-24,42.805
2011-05-01,43.08
2011-05-08,43.1
2011-05-15,43.125
2011-05-22,43.345
2011-05-29,43.205
2011-06-05,43.19
2011-06-12,43.65
2011-06-19,43.3
2011-06-26,43.175
2011-07-03,42.74
2011-07-10,42.945
2011-07-17,42.4
2011-07-24,42.14
2011-07-31,42.58
2011-08-07,42.635
2011-08-14,42.6
2011-08-21,42.33
2011-08-28,42.27
2011-09-04,42.485
2011-09-11,43.31
2011-09-18,43.57
2011-09-25,43.725
2011-10-02,43.545
2011-10-09,43.33
2011-10-16,43.435
2011-10-23,42.63
2011-10-30,42.9
2011-11-06,43.305
2011-11-13,43.44
2011-11-20,43.94
2011-11-27,43.27
2011-12-04,43.64
2011-12-11,43.83
2011-12-18,43.5
2011-12-25,43.84
2012-01-01,44.145
2012-01-08,43.755
2012-01-15,43.295
2012-01-22,42.79
2012-01-29,42.6
2012-02-05,42.525
2012-02-12,42.69
2012-02-19,42.81
2012-02-26,42.75
2012-03-04,42.56
2012-03-11,43.01
2012-03-18,42.91
2012-03-25,42.93
2012-04-01,42.75
2012-04-08,42.59
2012-04-15,42.55
2012-04-22,42.25
2012-04-29,42.28
2012-05-06,42.47
2012-05-13,43.13
2012-05-20,43.77
2012-05-27,43.475
2012-06-03,43.28
2012-06-10,42.28
2012-06-17,42.46
2012-06-24,41.93
2012-07-01,41.85
2012-07-08,41.965
2012-07-15,41.9
2012-07-22,41.975
2012-07-29,41.825
2012-08-05,41.855
2012-08-12,42.4
2012-08-19,42.24
2012-08-26,42.13
2012-09-02,41.545
2012-09-09,41.395
2012-09-16,41.65
2012-09-23,41.675
2012-09-30,41.465
2012-10-07,41.41
2012-10-14,41.325
2012-10-21,41.275
2012-10-28,41.1
2012-11-04,41.05
2012-11-11,41.3
2012-11-18,41.065
2012-11-25,40.8
2012-12-02,40.96
2012-12-09,41.13
2012-12-16,41.12
2012-12-23,41.07
2012-12-30,40.87
2013-01-06,40.6
2013-01-13,40.55
2013-01-20,40.7
2013-01-27,40.65
2013-02-03,40.71
2013-02-10,40.615
2013-02-17,40.75
2013-02-24,40.685
2013-03-03,40.72
2013-03-10,40.57
2013-03-17,40.89
2013-03-24,40.85
2013-03-31,41.17
2013-04-07,41.35
2013-04-14,41.11
2013-04-21,41.245
2013-04-28,40.865
2013-05-05,41.125
2013-05-12,41.235
2013-05-19,41.625
2013-05-26,42.31
2013-06-02,42.31
2013-06-09,42.835
2013-06-16,43.9
2013-06-23,43.1
2013-06-30,43.475
2013-07-07,43.375
2013-07-14,43.28
2013-07-21,43.275
2013-07-28,43.65
2013-08-04,43.475
2013-08-11,43.625
2013-08-18,44.205
2013-08-25,44.57
2013-09-01,44.365
2013-09-08,43.77
2013-09-15,43.12
2013-09-22,43.325
2013-09-29,43.165
2013-10-06,43.0
2013-10-13,43.09
2013-10-20,43.08
2013-10-27,43.36
2013-11-03,43.225
2013-11-10,43.555
2013-11-17,43.905
2013-11-24,43.67
2013-12-01,43.975
2013-12-08,44.15
2013-12-15,44.475
2013-12-22,44.375
2013-12-29,44.715
2014-01-05,44.59
2014-01-12,45.1
2014-01-19,45.445
2014-01-26,45.375
2014-02-02,45.0
2014-02-09,44.595
2014-02-16,44.57
2014-02-23,44.65
2014-03-02,44.395
2014-03-09,44.693
2014-03-16,45.2
2014-03-23,44.775
2014-03-30,45.0
2014-04-06,44.425
2014-04-13,44.325
2014-04-20,44.615
2014-04-27,44.505
2014-05-04,43.65
2014-05-11,43.73
2014-05-18,43.625
2014-05-25,43.845
2014-06-01,43.515
2014-06-08,43.885
2014-06-15,43.895
2014-06-22,43.735
2014-06-29,43.5
2014-07-06,43.475
2014-07-13,43.525
2014-07-20,43.325
2014-07-27,43.705
2014-08-03,43.98
2014-08-10,43.65
2014-08-17,43.86
2014-08-24,43.666
2014-08-31,43.56
2014-09-07,43.965
2014-09-14,44.545
2014-09-21,44.935
2014-09-28,45.0
2014-10-05,44.79
2014-10-12,44.825
2014-10-19,44.815
2014-10-26,44.975
2014-11-02,44.86
2014-11-09,44.93
2014-11-16,44.935
2014-11-23,44.95
2014-11-30,44.685
2014-12-07,44.568
2014-12-14,44.77
2014-12-21,44.66
2014-12-28,44.855
2015-01-04,44.9
2015-01-11,44.64
2015-01-18,44.085
2015-01-25,44.195
2015-02-01,44.25
2015-02-08,44.275
2015-02-15,44.225
2015-02-22,44.105
2015-03-01,44.305
2015-03-08,44.365
2015-03-15,44.85
2015-03-22,44.795
2015-03-29,44.335
2015-04-05,44.6
2015-04-12,44.255
2015-04-19,44.215
2015-04-26,44.635
2015-05-03,44.575
2015-05-10,44.415
2015-05-17,44.625
2015-05-24,44.535
2015-05-31,45.09
2015-06-07,45.295
2015-06-14,44.995
2015-06-21,45.115
2015-06-28,45.065
2015-07-05,45.075
2015-07-12,45.261
2015-07-19,45.555
2015-07-26,45.675
2015-08-02,45.825
2015-08-09,46.185
2015-08-16,46.672
2015-08-23,46.745
2015-08-30,46.935
2015-09-06,46.745
2015-09-13,46.485
2015-09-20,46.765
2015-09-27,46.555
2015-10-04,45.685
2015-10-11,45.995
2015-10-18,46.625
2015-10-25,46.725
2015-11-01,47.155
2015-11-08,47.085
2015-11-15,46.975
2015-11-22,47.193
2015-11-29,47.025
2015-12-06,47.435
2015-12-13,47.275
2015-12-20,47.205
2015-12-27,46.832
2016-01-03,47.249
2016-01-10,47.835
2016-01-17,47.735
2016-01-24,47.705
2016-01-31,47.785
2016-02-07,47.555
2016-02-14,47.675
2016-02-21,47.495
2016-02-28,46.745
2016-03-06,46.455
2016-03-13,46.455
2016-03-20,46.425
2016-03-27,46.095
2016-04-03,46.095
2016-04-10,46.145
2016-04-17,46.735
2016-04-24,47.035
2016-05-01,47.085
2016-05-08,46.665
2016-05-15,46.695
2016-05-22,46.685
2016-05-29,46.265
2016-06-05,46.185
2016-06-12,46.43
2016-06-19,46.99
2016-06-26,46.975
2016-07-03,47.165
2016-07-10,46.808
2016-07-17,47.09
2016-07-24,47.015
2016-07-31,46.974
2016-08-07,46.61
2016-08-14,46.422
2016-08-21,46.355
2016-08-28,46.54
2016-09-04,47.455
2016-09-11,47.97
2016-09-18,48.115
2016-09-25,48.4
2016-10-02,48.3
2016-10-09,48.412
2016-10-16,48.27
2016-10-23,48.57
2016-10-30,48.545
2016-11-06,48.865
2016-11-13,49.696
2016-11-20,49.844
2016-11-27,49.623
2016-12-04,49.892
2016-12-11,49.96
2016-12-18,49.78
2016-12-25,49.599
2017-01-01,49.525
2017-01-08,49.845
2017-01-15,49.995
2017-01-22,49.795
2017-01-29,49.699
2017-02-05,49.959
2017-02-12,50.065
2017-02-19,50.2
2017-02-26,50.276
2017-03-05,50.259
2017-03-12,50.209
2017-03-19,50.206
2017-03-26,50.179
2017-04-02,49.8
2017-04-09,49.505
2017-04-16,49.84
2017-04-23,50.212
2017-04-30,49.844
2017-05-07,49.676
2017-05-14,49.646
2017-05-21,49.777
2017-05-28,49.355
2017-06-04,49.53
2017-06-11,49.875
2017-06-18,50.11
2017-06-25,50.459
2017-07-02,50.58
2017-07-09,50.63
2017-07-16,50.719
2017-07-23,50.504
2017-07-30,50.295
2017-08-06,51.001
2017-08-13,51.387
2017-08-20,51.075
2017-08-27,51.049
2017-09-03,50.87
2017-09-10,51.274
2017-09-17,50.669
2017-09-24,50.885
2017-10-01,51.119
2017-10-08,51.139
2017-10-15,51.49
2017-10-22,51.589
2017-10-29,51.239
2017-11-05,51.203
2017-11-12,50.799
2017-11-19,50.609
2017-11-26,50.22
2017-12-03,50.45
2017-12-10,50.38
2017-12-17,49.99
2017-12-24,49.977
2017-12-31,49.769
2018-01-07,50.329
2018-01-14,50.674
2018-01-21,50.935
2018-01-28,51.63
2018-02-04,51.639
2018-02-11,52.199
2018-02-18,51.8
2018-02-25,51.95
2018-03-04,51.957
2018-03-11,51.9
2018-03-18,52.365
2018-03-25,52.124
2018-04-01,52.005
2018-04-08,51.955
2018-04-15,52.129
2018-04-22,51.619
2018-04-29,51.639
2018-05-06,52.395
2018-05-13,52.279
2018-05-20,52.595
2018-05-27,52.491
2018-06-03,52.871
2018-06-10,53.334
2018-06-17,53.217
2018-06-24,53.311
2018-07-01,53.313
2018-07-08,53.51
2018-07-15,53.299
2018-07-22,53.197
2018-07-29,53.055
2018-08-05,53.187
2018-08-12,53.284
2018-08-19,53.364
2018-08-26,53.47
2018-09-02,53.71
2018-09-09,54.1
2018-09-16,54.123
2018-09-23,53.965
2018-09-30,54.2
2018-10-07,54.05
2018-10-14,53.703
2018-10-21,53.494
2018-10-28,53.087
2018-11-04,53.011
2018-11-11,52.565
2018-11-18,52.389
2018-11-25,52.358
