date,season,year,month,total,oni
1950-01-01,DJF,1950,1,24.72,-1.53
1950-02-01,JFM,1950,2,25.17,-1.34
1950-03-01,FMA,1950,3,25.75,-1.16
1950-04-01,MAM,1950,4,26.12,-1.18
1950-05-01,AMJ,1950,5,26.32,-1.07
1950-06-01,MJJ,1950,6,26.31,-0.85
1950-07-01,JJA,1950,7,26.21,-0.54
1950-08-01,JAS,1950,8,25.96,-0.42
1950-09-01,ASO,1950,9,25.76,-0.39
1950-10-01,SON,1950,10,25.63,-0.44
1950-11-01,OND,1950,11,25.48,-0.6
1950-12-01,NDJ,1950,12,25.34,-0.8
1951-01-01,DJF,1951,1,25.42,-0.82
1951-02-01,JFM,1951,2,25.96,-0.54
1951-03-01,FMA,1951,3,26.74,-0.17
1951-04-01,MAM,1951,4,27.48,0.18
1951-05-01,AMJ,1951,5,27.75,0.36
1951-06-01,MJJ,1951,6,27.75,0.58
1951-07-01,JJA,1951,7,27.44,0.7
1951-08-01,JAS,1951,8,27.28,0.89
1951-09-01,ASO,1951,9,27.14,0.99
1951-10-01,SON,1951,10,27.22,1.15
1951-11-01,OND,1951,11,27.12,1.04
1951-12-01,NDJ,1951,12,26.95,0.81
1952-01-01,DJF,1952,1,26.78,0.53
1952-02-01,JFM,1952,2,26.87,0.37
1952-03-01,FMA,1952,3,27.25,0.34
1952-04-01,MAM,1952,4,27.6,0.29
1952-05-01,AMJ,1952,5,27.59,0.2
1952-06-01,MJJ,1952,6,27.17,0.0
1952-07-01,JJA,1952,7,26.67,-0.08
1952-08-01,JAS,1952,8,26.39,0.0
1952-09-01,ASO,1952,9,26.3,0.15
1952-10-01,SON,1952,10,26.17,0.1
1952-11-01,OND,1952,11,26.13,0.04
1952-12-01,NDJ,1952,12,26.29,0.15
1953-01-01,DJF,1953,1,26.65,0.4
1953-02-01,JFM,1953,2,27.1,0.6
1953-03-01,FMA,1953,3,27.53,0.63
1953-04-01,MAM,1953,4,27.96,0.66
1953-05-01,AMJ,1953,5,28.14,0.75
1953-06-01,MJJ,1953,6,27.94,0.77
1953-07-01,JJA,1953,7,27.49,0.75
1953-08-01,JAS,1953,8,27.12,0.73
1953-09-01,ASO,1953,9,26.93,0.78
1953-10-01,SON,1953,10,26.91,0.84
1953-11-01,OND,1953,11,26.92,0.84
1953-12-01,NDJ,1953,12,26.95,0.81
1954-01-01,DJF,1954,1,27.0,0.76
1954-02-01,JFM,1954,2,26.97,0.47
1954-03-01,FMA,1954,3,26.86,-0.05
1954-04-01,MAM,1954,4,26.89,-0.41
1954-05-01,AMJ,1954,5,26.85,-0.54
1954-06-01,MJJ,1954,6,26.67,-0.5
1954-07-01,JJA,1954,7,26.1,-0.64
1954-08-01,JAS,1954,8,25.54,-0.84
1954-09-01,ASO,1954,9,25.25,-0.9
1954-10-01,SON,1954,10,25.3,-0.77
1954-11-01,OND,1954,11,25.35,-0.73
1954-12-01,NDJ,1954,12,25.48,-0.66
1955-01-01,DJF,1955,1,25.57,-0.68
1955-02-01,JFM,1955,2,25.89,-0.62
1955-03-01,FMA,1955,3,26.22,-0.69
1955-04-01,MAM,1955,4,26.5,-0.8
1955-05-01,AMJ,1955,5,26.6,-0.79
1955-06-01,MJJ,1955,6,26.45,-0.72
1955-07-01,JJA,1955,7,26.06,-0.68
1955-08-01,JAS,1955,8,25.64,-0.75
1955-09-01,ASO,1955,9,25.06,-1.09
1955-10-01,SON,1955,10,24.65,-1.42
1955-11-01,OND,1955,11,24.41,-1.67
1955-12-01,NDJ,1955,12,24.72,-1.47
1956-01-01,DJF,1956,1,25.23,-1.11
1956-02-01,JFM,1956,2,25.86,-0.76
1956-03-01,FMA,1956,3,26.37,-0.63
1956-04-01,MAM,1956,4,26.82,-0.54
1956-05-01,AMJ,1956,5,26.93,-0.52
1956-06-01,MJJ,1956,6,26.72,-0.51
1956-07-01,JJA,1956,7,26.23,-0.57
1956-08-01,JAS,1956,8,25.87,-0.55
1956-09-01,ASO,1956,9,25.71,-0.46
1956-10-01,SON,1956,10,25.67,-0.42
1956-11-01,OND,1956,11,25.67,-0.43
1956-12-01,NDJ,1956,12,25.77,-0.43
1957-01-01,DJF,1957,1,26.09,-0.25
1957-02-01,JFM,1957,2,26.68,0.06
1957-03-01,FMA,1957,3,27.41,0.41
1957-04-01,MAM,1957,4,28.08,0.72
1957-05-01,AMJ,1957,5,28.37,0.92
1957-06-01,MJJ,1957,6,28.34,1.11
1957-07-01,JJA,1957,7,28.06,1.25
1957-08-01,JAS,1957,8,27.75,1.32
1957-09-01,ASO,1957,9,27.5,1.33
1957-10-01,SON,1957,10,27.48,1.39
1957-11-01,OND,1957,11,27.64,1.53
1957-12-01,NDJ,1957,12,27.94,1.74
1958-01-01,DJF,1958,1,28.15,1.81
1958-02-01,JFM,1958,2,28.27,1.66
1958-03-01,FMA,1958,3,28.26,1.27
1958-04-01,MAM,1958,4,28.28,0.93
1958-05-01,AMJ,1958,5,28.19,0.74
