date,actual,predicted,actual_direction,pred_direction,correct_direction
2015-05-01,0.004863451038116627,-0.035287874817476604,1,0,0
2015-06-01,-0.038183887321660066,0.0034008187945033875,0,1,0
2015-07-01,0.03669124960448809,-0.00925331062681539,1,0,0
2015-08-01,0.017065274753622697,-0.020989479713956313,1,0,0
2015-09-01,-0.0563628603595978,-0.011297081693822313,0,0,1
2015-10-01,0.012826414564620192,-0.018486841476437782,1,0,0
2015-11-01,-0.06204959179581237,-0.024546125294625763,0,0,1
2016-07-01,-0.030363317464419212,0.05530867716036882,0,1,0
2016-08-01,0.07110379356826038,-0.00038286253700879435,1,0,0
2016-09-01,0.001737619898540878,0.020723521160295313,1,1,1
2016-10-01,0.056473862458477575,-0.01544026230641347,1,0,0
2016-11-01,0.16700296664585243,0.010664763852851061,1,1,1
2016-12-01,0.09304954079575976,-0.01404308550469184,1,0,0
2017-09-01,0.10601434683565841,0.040369680906782224,1,1,1
2017-10-01,0.051622107698652824,0.06572771731029593,1,1,1
2017-11-01,-0.07439647953613952,0.07237383256270549,0,1,0
2017-12-01,-0.090359328022177,-0.039164410879281984,0,0,1
2018-01-01,0.030224738645035783,-0.022782971168866233,1,0,0
2018-02-01,0.07835351481048101,0.04400737511268721,1,1,1
2018-03-01,0.08389866547778128,0.057610563262173925,1,1,1
2018-04-01,-0.1286473705871278,0.05231213188228457,0,1,0
2018-05-01,0.11531656769568308,-0.018338731983497895,1,0,0
2018-06-01,-0.14188207444654383,0.016322620342904614,0,1,0
2018-07-01,-0.07533732494164536,-0.06049614511809746,0,0,1
2018-08-01,0.04577827284841917,-0.04899011912919437,1,0,0
2018-10-01,-0.06901952566598349,-0.044646937655874686,0,0,1
2018-11-01,-0.03994174840794554,0.0024446682893379977,0,1,0
2018-12-01,-0.11354393812226476,0.00032059792116066646,0,1,0
2019-01-01,-0.10642821647247157,-0.1279595152150556,0,0,1
2019-02-01,0.01115661338035484,-0.005221769577490392,1,0,0
2019-03-01,-0.09588938886855906,-0.0017132728465930644,0,0,1
2019-04-01,-0.0986638876900911,-0.08329670390591923,0,0,1
2019-05-01,-0.01617408488703539,-0.11681630522748601,0,0,1
2019-06-01,-0.0011247796672511081,-0.06002520767467139,0,0,1
2019-07-01,-0.019963694439562852,-0.024818822608010282,0,0,1
2019-08-01,-0.0774739188371912,-0.042403185418964276,0,0,1
2019-09-01,-0.08938258552540526,-0.04533727247737396,0,0,1
2019-10-01,0.047594049578880845,-0.039841673762186516,1,0,0
2019-11-01,-0.02956872354862511,-0.07096329073458267,0,0,1
2019-12-01,-0.08449918024566624,-0.07325820449433279,0,0,1
2020-01-01,-0.04589751478975954,-0.057648013771922885,0,0,1
2020-02-01,-0.014742062869549464,-0.06238102264272004,0,0,1
2020-03-01,-0.011219849990021393,-0.0338768508277649,0,0,1
2020-04-01,-0.039441558204148755,0.007149875529876527,0,1,0
2020-05-01,0.03358631424447439,0.0007447085736509611,1,1,1
2020-07-01,0.09009496276948206,-0.01840777751388109,1,0,0
2020-08-01,0.006582116314820834,0.04043321500914384,1,1,1
2020-09-01,-0.0062485049689409026,0.0048569540853797815,0,1,0
2020-10-01,0.16538063034504308,-0.014309108718872336,1,0,0
2020-11-01,0.19460077140800797,0.11246770470860035,1,1,1
2020-12-01,-0.027097347881428535,0.11505072123819518,0,1,0
2021-01-01,-0.1731737123099077,0.01763686923672741,0,1,0
2021-02-01,-0.007610748813801693,0.04691371135521716,0,1,0
2021-03-01,-0.0038391895167317696,-0.00818299737977892,0,0,1
2021-04-01,-0.0026157294557012274,0.036509284914577694,0,1,0
2021-05-01,0.09620212901253183,0.032210094884043326,1,1,1
2021-06-01,-0.031110344640052884,0.0558422413070829,0,1,0
2021-07-01,0.09955744204209134,0.005960011130644256,1,1,1
2021-08-01,0.05248589794345712,0.05034639877362652,1,1,1
2021-09-01,0.07825448430493116,0.01793819998564779,1,1,1
2021-10-01,0.2021806961511354,0.03303522076285006,1,1,1
2021-11-01,0.06778391571217558,0.1240920273705164,1,1,1
2021-12-01,-0.001290970558696751,0.010774366753560229,0,1,0
2022-01-01,-0.012773726859160572,0.020934531397986088,0,1,0
2022-03-01,0.06444116437363313,-0.012436471218800864,1,0,0
2022-04-01,0.07439630608163625,0.03141654155618405,1,1,1
2022-05-01,0.032952301138518096,0.041596204868078475,1,1,1
2022-06-01,-0.026322283338105237,0.05637487530933089,0,1,0
2022-07-01,-0.05322061921987457,0.0523523409506655,0,1,0
2022-08-01,-0.058794016141210964,0.007731304479122051,0,1,0
2022-09-01,-0.0058013215640866245,0.003390676777606186,0,1,0
2022-10-01,0.2583988887896025,-0.061905673848059874,1,0,0
2022-11-01,0.019477690804329924,0.1716610069876065,1,1,1
2022-12-01,-0.14518981966547537,0.08649791056815433,0,1,0
2023-01-01,0.1730832600592927,0.00225085534329436,1,1,1
2023-02-01,0.06330117266460111,0.10042413942396132,1,1,1
2023-03-01,0.03761427040747765,-0.020490591971325706,1,0,0
2023-04-01,-0.06273285678775187,0.005363535548178722,0,1,0
2023-05-01,-0.14420244456398204,0.010502859837856123,0,1,0
2023-06-01,-0.0642426084976448,-0.04831851862669622,0,0,1
2023-07-01,-0.09879581240345793,-0.0381627612338855,0,0,1
2023-08-01,-0.10673689094200821,-0.0598697817332949,0,0,1
2023-09-01,-0.10376722717737616,-0.04139785347348049,0,0,1
2023-10-01,-0.11897555798212824,-0.061061033651116925,0,0,1
2023-12-01,0.05713083873224731,-0.07510114028173465,1,0,0
2024-01-01,-0.012729300483650634,-0.03858060178361467,0,0,1
2024-02-01,-0.07147718836166536,-0.04709583263453747,0,0,1
2024-03-01,0.007546787343390547,-0.07772374790208207,1,0,0
2024-04-01,0.025512190334984537,-0.08435921909899032,1,0,0
2024-05-01,-0.037286724457313715,-0.07730547547580113,0,0,1
2024-06-01,-0.02475569945390325,-0.0666973510803054,0,0,1
2024-07-01,-0.03393808591888599,-0.049414103099537136,0,0,1
2024-08-01,0.033642153083933195,-0.016978865401300974,1,0,0
2024-09-01,0.04819075691885017,0.027260493433708777,1,1,1
2024-10-01,-0.02526438526158675,0.11279161897500771,0,1,0
2024-11-01,-0.023833808401943265,0.006356626555589295,0,1,0
2024-12-01,0.06306636497020501,-0.00127714284791218,1,0,0
2025-01-01,-0.005163367832952549,0.07733118806825473,0,1,0
2025-02-01,0.019434562151746385,0.022664727511739605,1,1,1
2025-03-01,0.03563133482955318,0.022829322587157638,1,1,1
2025-04-01,0.09462866096903622,0.021711627648203374,1,1,1
2025-05-01,0.10135127808305351,0.04715106363489313,1,1,1
2025-06-01,-0.016618882148760852,0.06278225875812926,0,1,0
2025-08-01,-0.002750365174645348,0.0033019997959641114,0,1,0
2025-09-01,0.053253257816776194,0.01630670474077502,1,1,1
2025-10-01,0.09336907579019116,0.05623026351892752,1,1,1
