date,actual,predicted,actual_direction,pred_direction,correct_direction
2015-05-01,0.004863451038116627,0.033175199821057676,1,1,1
2015-06-01,-0.038183887321660066,0.04020038500206889,0,1,0
2015-07-01,0.03669124960448809,0.03495518035470718,1,1,1
2015-08-01,0.017065274753622697,0.026262384017124024,1,1,1
2015-09-01,-0.0563628603595978,0.014293979889670322,0,1,0
2015-10-01,0.012826414564620192,-0.015243098147891699,1,0,0
2015-11-01,-0.06204959179581237,-0.021775306888748347,0,0,1
2016-07-01,-0.030363317464419212,0.07354626534187239,0,1,0
2016-08-01,0.07110379356826038,0.03274981936424824,1,1,1
2016-09-01,0.001737619898540878,0.045436138630858186,1,1,1
2016-10-01,0.056473862458477575,0.01865103238396825,1,1,1
2016-11-01,0.16700296664585243,0.01072505855222689,1,1,1
2016-12-01,0.09304954079575976,0.040405678890045496,1,1,1
2017-09-01,0.10601434683565841,0.09633179502831529,1,1,1
2017-10-01,0.051622107698652824,0.10065015207448605,1,1,1
2017-11-01,-0.07439647953613952,0.09549307763086481,0,1,0
2017-12-01,-0.090359328022177,0.05968659880397458,0,1,0
2018-01-01,0.030224738645035783,0.010156889924958229,1,1,1
2018-02-01,0.07835351481048101,0.01602978408336397,1,1,1
2018-03-01,0.08389866547778128,0.033512177355986765,1,1,1
2018-04-01,-0.1286473705871278,0.045056818966691774,0,1,0
2018-05-01,0.11531656769568308,0.022463135944704404,1,1,1
2018-06-01,-0.14188207444654383,0.035331180133850795,0,1,0
2018-07-01,-0.07533732494164536,-0.008144224153979435,0,0,1
2018-08-01,0.04577827284841917,-0.0752069849623921,1,0,0
2018-10-01,-0.06901952566598349,-0.07954777515633236,0,0,1
2018-11-01,-0.03994174840794554,-0.09377632698886196,0,0,1
2018-12-01,-0.11354393812226476,-0.1030774910401217,0,0,1
2019-01-01,-0.10642821647247157,-0.12178845613564865,0,0,1
2019-02-01,0.01115661338035484,-0.11727354008038399,1,0,0
2019-03-01,-0.09588938886855906,-0.08509856753062543,0,0,1
2019-04-01,-0.0986638876900911,-0.08161034659942186,0,0,1
2019-05-01,-0.01617408488703539,-0.08072721762427927,0,0,1
2019-06-01,-0.0011247796672511081,-0.0669382977315279,0,0,1
2019-07-01,-0.019963694439562852,-0.05522671302875557,0,0,1
2019-08-01,-0.0774739188371912,-0.051327580648422313,0,0,1
2019-09-01,-0.08938258552540526,-0.061623216955269546,0,0,1
2019-10-01,0.047594049578880845,-0.06928430170928418,1,0,0
2019-11-01,-0.02956872354862511,-0.06738648195211883,0,0,1
2019-12-01,-0.08449918024566624,-0.060060323353895884,0,0,1
2020-01-01,-0.04589751478975954,-0.06704957803823333,0,0,1
2020-02-01,-0.014742062869549464,-0.056661010155709776,0,0,1
2020-03-01,-0.011219849990021393,-0.052583821393326145,0,0,1
2020-04-01,-0.039441558204148755,-0.04901632590309547,0,0,1
