date,actual,predicted,actual_direction,pred_direction,correct_direction
2015-05-01,0.004863451038116627,-0.04597369391190261,1,0,0
2015-06-01,-0.038183887321660066,-0.015145635170043952,0,0,1
2015-07-01,0.03669124960448809,-0.013551391091126797,1,0,0
2015-08-01,0.017065274753622697,0.0010077925451859933,1,1,1
2015-09-01,-0.0563628603595978,0.015802479046281,0,1,0
2015-10-01,0.012826414564620192,-0.007737515878647632,1,0,0
2015-11-01,-0.06204959179581237,-0.048593033949481335,0,0,1
2016-07-01,-0.030363317464419212,-0.007126978517193904,0,0,1
2016-08-01,0.07110379356826038,-0.00015557188016183842,1,0,0
2016-09-01,0.001737619898540878,0.03385866784304374,1,1,1
2016-10-01,0.056473862458477575,-0.0009838069474896768,1,0,0
2016-11-01,0.16700296664585243,0.03958367107843167,1,1,1
2016-12-01,0.09304954079575976,0.1012565030282708,1,1,1
2017-09-01,0.10601434683565841,-0.04186939628729998,1,0,0
2017-10-01,0.051622107698652824,0.059217543220291935,1,1,1
2017-11-01,-0.07439647953613952,0.05629007260821973,0,1,0
2017-12-01,-0.090359328022177,0.005061385106022276,0,1,0
2018-01-01,0.030224738645035783,-0.04770893589699901,1,0,0
2018-02-01,0.07835351481048101,0.012694222830192886,1,1,1
2018-03-01,0.08389866547778128,0.05546286641655554,1,1,1
2018-04-01,-0.1286473705871278,0.029033952829056086,0,1,0
2018-05-01,0.11531656769568308,-0.09138392499817764,1,0,0
2018-06-01,-0.14188207444654383,-0.017422726105149215,0,0,1
2018-07-01,-0.07533732494164536,0.03898586621585348,0,1,0
2018-08-01,0.04577827284841917,-0.006208436314113406,1,0,0
2018-10-01,-0.06901952566598349,-0.023087262346959382,0,0,1
2018-11-01,-0.03994174840794554,-0.04012791005353931,0,0,1
2018-12-01,-0.11354393812226476,-0.06548445343553073,0,0,1
2019-01-01,-0.10642821647247157,-0.08858475965068749,0,0,1
2019-02-01,0.01115661338035484,-0.1143416568793568,1,0,0
2019-03-01,-0.09588938886855906,-0.05135290273549961,0,0,1
2019-04-01,-0.0986638876900911,-0.10169756285183085,0,0,1
2019-05-01,-0.01617408488703539,-0.09045149874175958,0,0,1
2019-06-01,-0.0011247796672511081,-0.028759376622612267,0,0,1
2019-07-01,-0.019963694439562852,-0.04456870523171436,0,0,1
2019-08-01,-0.0774739188371912,-0.03183478273840636,0,0,1
2019-09-01,-0.08938258552540526,-0.035231828698681265,0,0,1
2019-10-01,0.047594049578880845,-0.039345708538793295,1,0,0
2019-11-01,-0.02956872354862511,-0.040330513923653784,0,0,1
2019-12-01,-0.08449918024566624,-0.01111038068007015,0,0,1
2020-01-01,-0.04589751478975954,-0.05304158918555929,0,0,1
2020-02-01,-0.014742062869549464,-0.023916947451650676,0,0,1
2020-03-01,-0.011219849990021393,-0.011220756390766626,0,0,1
2020-04-01,-0.039441558204148755,-0.03318226125089882,0,0,1
2020-05-01,0.03358631424447439,-0.02838546074468901,1,0,0
2020-07-01,0.09009496276948206,-0.02867712873470702,1,0,0
2020-08-01,0.006582116314820834,0.005315676146596084,1,1,1
2020-09-01,-0.0062485049689409026,0.010183360942633652,0,1,0
2020-10-01,0.16538063034504308,-0.0032042837904521083,1,0,0
