date,actual,predicted,actual_direction,pred_direction,correct_direction
2015-05-01,0.004863451038116627,-0.01385657300087,1,0,0
2015-06-01,-0.038183887321660066,0.0015624750040788837,0,1,0
2015-07-01,0.03669124960448809,0.007668768992311399,1,1,1
2015-08-01,0.017065274753622697,0.008065553433671145,1,1,1
2015-09-01,-0.0563628603595978,-0.00041628006486249926,0,0,1
2015-10-01,0.012826414564620192,-0.012311839741985969,1,0,0
2015-11-01,-0.06204959179581237,-0.017169764436459137,0,0,1
2016-07-01,-0.030363317464419212,0.06689550821942916,0,1,0
2016-08-01,0.07110379356826038,0.041707378537166426,1,1,1
2016-09-01,0.001737619898540878,0.0501209080418545,1,1,1
2016-10-01,0.056473862458477575,0.03376358629011972,1,1,1
2016-11-01,0.16700296664585243,0.024607448453929016,1,1,1
2016-12-01,0.09304954079575976,0.043762158403272994,1,1,1
2017-09-01,0.10601434683565841,0.061936546940930155,1,1,1
2017-10-01,0.051622107698652824,0.0687893891807886,1,1,1
2017-11-01,-0.07439647953613952,0.05916636702509879,0,1,0
2017-12-01,-0.090359328022177,0.025232695488563408,0,1,0
2018-01-01,0.030224738645035783,-0.0027091411064840234,1,0,0
2018-02-01,0.07835351481048101,0.012977345693883677,1,1,1
2018-03-01,0.08389866547778128,0.02044866735243892,1,1,1
2018-04-01,-0.1286473705871278,0.014840911214191982,0,1,0
2018-05-01,0.11531656769568308,-0.01595691501216498,1,0,0
2018-06-01,-0.14188207444654383,-0.004254600445673183,0,0,1
2018-07-01,-0.07533732494164536,-0.029381715547784407,0,0,1
2018-08-01,0.04577827284841917,-0.05328422205940832,1,0,0
2018-10-01,-0.06901952566598349,-0.06009980249313644,0,0,1
2018-11-01,-0.03994174840794554,-0.0738325323982704,0,0,1
2018-12-01,-0.11354393812226476,-0.08008556895654886,0,0,1
2019-01-01,-0.10642821647247157,-0.0855579407054417,0,0,1
2019-02-01,0.01115661338035484,-0.08025685280761406,1,0,0
2019-03-01,-0.09588938886855906,-0.062121076779577344,0,0,1
2019-04-01,-0.0986638876900911,-0.061859311301480285,0,0,1
2019-05-01,-0.01617408488703539,-0.06352272903124008,0,0,1
2019-06-01,-0.0011247796672511081,-0.05793312538819499,0,0,1
2019-07-01,-0.019963694439562852,-0.04657006194287428,0,0,1
2019-08-01,-0.0774739188371912,-0.03977962541501423,0,0,1
2019-09-01,-0.08938258552540526,-0.04422864709342126,0,0,1
2019-10-01,0.047594049578880845,-0.047250542610981876,1,0,0
