date,actual,predicted,actual_direction,pred_direction,correct_direction
2015-05-01,0.004863451038116627,-0.017409405403900385,1,0,0
2015-06-01,-0.038183887321660066,0.0038067931935695165,0,1,0
2015-07-01,0.03669124960448809,0.010149380261483093,1,1,1
2015-08-01,0.017065274753622697,0.007034069483965602,1,1,1
2015-09-01,-0.0563628603595978,-0.006836985297403342,0,0,1
2015-10-01,0.012826414564620192,-0.037074948958691595,1,0,0
2015-11-01,-0.06204959179581237,-0.03582739373528423,0,0,1
2016-07-01,-0.030363317464419212,0.07642956130188223,0,1,0
2016-08-01,0.07110379356826038,0.054700045851361706,1,1,1
2016-09-01,0.001737619898540878,0.06663993729948699,1,1,1
2016-10-01,0.056473862458477575,0.048531894188911295,1,1,1
2016-11-01,0.16700296664585243,0.034111494507181414,1,1,1
2016-12-01,0.09304954079575976,0.05039931161850772,1,1,1
2017-09-01,0.10601434683565841,0.046621255750961335,1,1,1
2017-10-01,0.051622107698652824,0.06901016337388308,1,1,1
2017-11-01,-0.07439647953613952,0.06822241791997175,0,1,0
2017-12-01,-0.090359328022177,0.028345975756890143,0,1,0
2018-01-01,0.030224738645035783,-0.035662343949963815,1,0,0
2018-02-01,0.07835351481048101,-0.01981459351868526,1,0,0
2018-03-01,0.08389866547778128,-0.004918129520325566,1,0,0
2018-04-01,-0.1286473705871278,-0.006270223296524584,0,0,1
2018-05-01,0.11531656769568308,-0.05941163625154062,1,0,0
2018-06-01,-0.14188207444654383,-0.012667030176152859,0,0,1
2018-07-01,-0.07533732494164536,-0.04581103038438093,0,0,1
2018-08-01,0.04577827284841917,-0.06583525952600718,1,0,0
2018-10-01,-0.06901952566598349,-0.0660485599980213,0,0,1
2018-11-01,-0.03994174840794554,-0.08053029808600311,0,0,1
2018-12-01,-0.11354393812226476,-0.09088842501625671,0,0,1
2019-01-01,-0.10642821647247157,-0.10256069765842317,0,0,1
2019-02-01,0.01115661338035484,-0.09702300085264959,1,0,0
2019-03-01,-0.09588938886855906,-0.06240802480418882,0,0,1
2019-04-01,-0.0986638876900911,-0.0665426703854739,0,0,1
2019-05-01,-0.01617408488703539,-0.06734365881841792,0,0,1
2019-06-01,-0.0011247796672511081,-0.0540718269111372,0,0,1
2019-07-01,-0.019963694439562852,-0.0430786311003101,0,0,1
2019-08-01,-0.0774739188371912,-0.04192477305683945,0,0,1
2019-09-01,-0.08938258552540526,-0.050164418781688404,0,0,1
2019-10-01,0.047594049578880845,-0.053685408203257665,1,0,0
2019-11-01,-0.02956872354862511,-0.047729408382477606,0,0,1
2019-12-01,-0.08449918024566624,-0.03365316717062487,0,0,1
2020-01-01,-0.04589751478975954,-0.035602969866681516,0,0,1
2020-02-01,-0.014742062869549464,-0.020240104094285782,0,0,1
2020-03-01,-0.011219849990021393,-0.007335415442683105,0,0,1
2020-04-01,-0.039441558204148755,-0.008845862403175475,0,0,1
2020-05-01,0.03358631424447439,-0.013176646442214867,1,0,0
2020-07-01,0.09009496276948206,0.021083878882191754,1,1,1
2020-08-01,0.006582116314820834,0.0383369469213506,1,1,1
2020-09-01,-0.0062485049689409026,0.03239619394143108,0,1,0
2020-10-01,0.16538063034504308,0.02863205990381812,1,1,1
2020-11-01,0.19460077140800797,0.04840598659190051,1,1,1
2020-12-01,-0.027097347881428535,0.08041615578483538,0,1,0
2021-01-01,-0.1731737123099077,0.06668497120251639,0,1,0
2021-02-01,-0.007610748813801693,0.021338684673542323,0,1,0
2021-03-01,-0.0038391895167317696,0.02161734026632693,0,1,0
2021-04-01,-0.0026157294557012274,0.033286099817561796,0,1,0
2021-05-01,0.09620212901253183,0.02414741685744063,1,1,1
2021-06-01,-0.031110344640052884,0.04582449086772757,0,1,0
2021-07-01,0.09955744204209134,0.03416434159916938,1,1,1
2021-08-01,0.05248589794345712,0.05396089416957377,1,1,1
2021-09-01,0.07825448430493116,0.04334783493189041,1,1,1
2021-10-01,0.2021806961511354,0.029412263160762602,1,1,1
2021-11-01,0.06778391571217558,0.05273272299766045,1,1,1
2021-12-01,-0.001290970558696751,0.03999243600993649,0,1,0
2022-01-01,-0.012773726859160572,0.008678364190768374,0,1,0
2022-03-01,0.06444116437363313,-0.010677280320143735,1,0,0
2022-04-01,0.07439630608163625,0.01716802679303871,1,1,1
2022-05-01,0.032952301138518096,0.05842433880595517,1,1,1
2022-06-01,-0.026322283338105237,0.077015782882785,0,1,0
2022-07-01,-0.05322061921987457,0.05448646675946037,0,1,0
2022-08-01,-0.058794016141210964,0.015787633249175766,0,1,0
2022-09-01,-0.0058013215640866245,-0.01740663552659311,0,0,1
2022-10-01,0.2583988887896025,-0.04407299787444847,1,0,0
2022-11-01,0.019477690804329924,-0.012316394611537834,1,0,0
2022-12-01,-0.14518981966547537,-0.04467184057955425,0,0,1
2023-01-01,0.1730832600592927,-0.10529316359194005,1,0,0
2023-02-01,0.06330117266460111,-0.04739898065165345,1,0,0
2023-03-01,0.03761427040747765,-0.024128471491254504,1,0,0
2023-04-01,-0.06273285678775187,-0.04257987695894695,0,0,1
2023-05-01,-0.14420244456398204,-0.06965289566376061,0,0,1
2023-06-01,-0.0642426084976448,-0.04343538215827868,0,0,1
2023-07-01,-0.09879581240345793,0.018729523764310016,0,1,0
2023-08-01,-0.10673689094200821,0.005388547141519396,0,1,0
2023-09-01,-0.10376722717737616,-0.03944889538061299,0,0,1
2023-10-01,-0.11897555798212824,-0.078783785260951,0,0,1
2023-12-01,0.05713083873224731,-0.09413891488891528,1,0,0
2024-01-01,-0.012729300483650634,-0.05884157308490197,0,0,1
