date,actual,predicted,actual_direction,pred_direction,correct_direction
2015-05-01,0.004863451038116627,-0.01118769151660249,1,0,0
2015-06-01,-0.038183887321660066,-0.010243506660442542,0,0,1
2015-07-01,0.03669124960448809,0.03257463001217032,1,1,1
2015-08-01,0.017065274753622697,0.047488655151712106,1,1,1
2015-09-01,-0.0563628603595978,0.018511507858523353,0,1,0
2015-10-01,0.012826414564620192,-0.010858226298242584,1,0,0
2015-11-01,-0.06204959179581237,0.017023861167971537,0,1,0
2016-07-01,-0.030363317464419212,0.06849517190592974,0,1,0
2016-08-01,0.07110379356826038,-0.022078431438551618,1,0,0
2016-09-01,0.001737619898540878,0.07935999892422159,1,1,1
2016-10-01,0.056473862458477575,0.07046867726465045,1,1,1
2016-11-01,0.16700296664585243,0.015971828298984074,1,1,1
2016-12-01,0.09304954079575976,0.08881404826676585,1,1,1
2017-09-01,0.10601434683565841,0.0893434848328901,1,1,1
2017-10-01,0.051622107698652824,0.09119580283319767,1,1,1
2017-11-01,-0.07439647953613952,0.0987848150203905,0,1,0
2017-12-01,-0.090359328022177,0.06662772414971024,0,1,0
2018-01-01,0.030224738645035783,-0.020233872122317184,1,0,0
2018-02-01,0.07835351481048101,0.09117141272169903,1,1,1
2018-03-01,0.08389866547778128,0.03532190676532464,1,1,1
2018-04-01,-0.1286473705871278,0.035461094654268124,0,1,0
2018-05-01,0.11531656769568308,-0.07437121603077461,1,0,0
2018-06-01,-0.14188207444654383,-0.029572374360945102,0,0,1
2018-07-01,-0.07533732494164536,-0.012196523216916678,0,0,1
2018-08-01,0.04577827284841917,-0.03689208137919371,1,0,0
2018-10-01,-0.06901952566598349,-0.012666160095043299,0,0,1
2018-11-01,-0.03994174840794554,-0.0340274358916666,0,0,1
2018-12-01,-0.11354393812226476,-0.034872337679706454,0,0,1
2019-01-01,-0.10642821647247157,-0.08794492231687659,0,0,1
2019-02-01,0.01115661338035484,-0.07862774072444538,1,0,0
2019-03-01,-0.09588938886855906,-0.06865170137946758,0,0,1
2019-04-01,-0.0986638876900911,-0.10963687506326951,0,0,1
2019-05-01,-0.01617408488703539,-0.050000950870534015,0,0,1
2019-06-01,-0.0011247796672511081,-0.10780804383440645,0,0,1
2019-07-01,-0.019963694439562852,-0.04690799424876154,0,0,1
2019-08-01,-0.0774739188371912,-0.03045543969021159,0,0,1
2019-09-01,-0.08938258552540526,-0.04224937581134352,0,0,1
2019-10-01,0.047594049578880845,-0.03873487151997275,1,0,0
2019-11-01,-0.02956872354862511,-0.0612940420597521,0,0,1
2019-12-01,-0.08449918024566624,-0.03556577910940789,0,0,1
2020-01-01,-0.04589751478975954,-0.060076873441864555,0,0,1
2020-02-01,-0.014742062869549464,-0.05830445361035143,0,0,1
