date,actual,predicted,actual_direction,pred_direction,correct_direction
2015-05-01,0.004863451038116627,0.030736962211631167,1,1,1
2015-06-01,-0.038183887321660066,0.03166020977781291,0,1,0
2015-07-01,0.03669124960448809,0.029211675436891037,1,1,1
2015-08-01,0.017065274753622697,0.02512850220817251,1,1,1
2015-09-01,-0.0563628603595978,0.02644670671990043,0,1,0
2015-10-01,0.012826414564620192,0.006471881788582228,1,1,1
2015-11-01,-0.06204959179581237,-0.02815586332191506,0,0,1
2016-07-01,-0.030363317464419212,0.04017006464081214,0,1,0
2016-08-01,0.07110379356826038,0.02677412875572215,1,1,1
2016-09-01,0.001737619898540878,0.04055747717857677,1,1,1
2016-10-01,0.056473862458477575,0.02113605664400666,1,1,1
2016-11-01,0.16700296664585243,-0.00578090542374633,1,0,0
2016-12-01,0.09304954079575976,0.021073909935203392,1,1,1
2017-09-01,0.10601434683565841,0.06741639232054254,1,1,1
2017-10-01,0.051622107698652824,0.07733369337405856,1,1,1
2017-11-01,-0.07439647953613952,0.06647428030900514,0,1,0
2017-12-01,-0.090359328022177,0.053310084023364894,0,1,0
2018-01-01,0.030224738645035783,0.02240540420934904,1,1,1
2018-02-01,0.07835351481048101,0.01640121421887309,1,1,1
2018-03-01,0.08389866547778128,0.010956256493471313,1,1,1
2018-04-01,-0.1286473705871278,0.011273780021070011,0,1,0
2018-05-01,0.11531656769568308,0.01574387682084929,1,1,1
2018-06-01,-0.14188207444654383,0.022889881756962778,0,1,0
2018-07-01,-0.07533732494164536,-0.0033139842873307008,0,0,1
2018-08-01,0.04577827284841917,-0.013186378471925123,1,0,0
2018-10-01,-0.06901952566598349,-0.009247301595971716,0,0,1
2018-11-01,-0.03994174840794554,-0.031109974839578072,0,0,1
2018-12-01,-0.11354393812226476,-0.04309522677104126,0,0,1
2019-01-01,-0.10642821647247157,-0.05107383843348525,0,0,1
2019-02-01,0.01115661338035484,-0.05839192281611724,1,0,0
2019-03-01,-0.09588938886855906,-0.0438631254956034,0,0,1
2019-04-01,-0.0986638876900911,-0.058527434638309006,0,0,1
2019-05-01,-0.01617408488703539,-0.05115905651018551,0,0,1
2019-06-01,-0.0011247796672511081,-0.04855627295386724,0,0,1
2019-07-01,-0.019963694439562852,-0.043042428223110794,0,0,1
2019-08-01,-0.0774739188371912,-0.039542559502185354,0,0,1
2019-09-01,-0.08938258552540526,-0.03391306049005237,0,0,1
2019-10-01,0.047594049578880845,-0.03547982822247433,1,0,0
2019-11-01,-0.02956872354862511,-0.051525051804479985,0,0,1
2019-12-01,-0.08449918024566624,-0.03916970546738431,0,0,1
2020-01-01,-0.04589751478975954,-0.025224975736777233,0,0,1
2020-02-01,-0.014742062869549464,-0.024881409896687533,0,0,1
2020-03-01,-0.011219849990021393,-0.03514944512930157,0,0,1
2020-04-01,-0.039441558204148755,-0.04228668603812056,0,0,1
2020-05-01,0.03358631424447439,-0.025086141453302048,1,0,0
2020-07-01,0.09009496276948206,-0.014001583508380478,1,0,0
2020-08-01,0.006582116314820834,-0.0035559244679216756,1,0,0
2020-09-01,-0.0062485049689409026,0.005085629858791503,0,1,0
2020-10-01,0.16538063034504308,0.01436961105572599,1,1,1
2020-11-01,0.19460077140800797,0.028759908307966164,1,1,1
2020-12-01,-0.027097347881428535,0.069287575845016,0,1,0
2021-01-01,-0.1731737123099077,0.04630355261231587,0,1,0
2021-02-01,-0.007610748813801693,0.013856586625616344,0,1,0
2021-03-01,-0.0038391895167317696,0.01070469726073767,0,1,0
2021-04-01,-0.0026157294557012274,0.008808111812541524,0,1,0
2021-05-01,0.09620212901253183,0.017493925184194403,1,1,1
2021-06-01,-0.031110344640052884,0.04981889477163636,0,1,0
2021-07-01,0.09955744204209134,0.0460486901660051,1,1,1
2021-08-01,0.05248589794345712,0.06479672338428234,1,1,1
2021-09-01,0.07825448430493116,0.05410842374279211,1,1,1
2021-10-01,0.2021806961511354,0.021076754972862374,1,1,1
2021-11-01,0.06778391571217558,-0.009339998546791586,1,0,0
2021-12-01,-0.001290970558696751,0.027494380736326755,0,1,0
2022-01-01,-0.012773726859160572,0.00328925147526039,0,1,0
2022-03-01,0.06444116437363313,-0.010893080098858475,1,0,0
