date,actual,predicted,actual_direction,pred_direction,correct_direction
2015-05-01,0.004863451038116627,0.08962825101166563,1,1,1
2015-06-01,-0.038183887321660066,0.05568064421353343,0,1,0
2015-07-01,0.03669124960448809,0.03969879271645074,1,1,1
2015-08-01,0.017065274753622697,0.03386180014997861,1,1,1
2015-09-01,-0.0563628603595978,0.03454659061166068,0,1,0
2015-10-01,0.012826414564620192,-0.1144878978486233,1,0,0
2015-11-01,-0.06204959179581237,-0.05503045554244554,0,0,1
2016-07-01,-0.030363317464419212,0.12233974944852,0,1,0
2016-08-01,0.07110379356826038,0.14215463218747673,1,1,1
2016-09-01,0.001737619898540878,0.10830597308673326,1,1,1
2016-10-01,0.056473862458477575,-0.0022357040222090088,1,0,0
2016-11-01,0.16700296664585243,-0.04017617174525162,1,0,0
2016-12-01,0.09304954079575976,0.008755933437868624,1,1,1
2017-09-01,0.10601434683565841,0.08915270957539534,1,1,1
2017-10-01,0.051622107698652824,0.13116829248563203,1,1,1
2017-11-01,-0.07439647953613952,-0.03974792712145026,0,0,1
2017-12-01,-0.090359328022177,-0.05615439527630865,0,0,1
2018-01-01,0.030224738645035783,-0.1297629143372797,1,0,0
2018-02-01,0.07835351481048101,-0.1266123634515976,1,0,0
2018-03-01,0.08389866547778128,-0.05933694642933887,1,0,0
2018-04-01,-0.1286473705871278,0.030729533324797827,0,1,0
2018-05-01,0.11531656769568308,-0.14054561012608263,1,0,0
2018-06-01,-0.14188207444654383,0.023829220254255226,0,1,0
2018-07-01,-0.07533732494164536,-0.1862243609369939,0,0,1
2018-08-01,0.04577827284841917,-0.12731439402937234,1,0,0
2018-10-01,-0.06901952566598349,-0.08685211226597911,0,0,1
2018-11-01,-0.03994174840794554,-0.14393261546116587,0,0,1
2018-12-01,-0.11354393812226476,-0.1352391275587752,0,0,1
2019-01-01,-0.10642821647247157,-0.0994242121761574,0,0,1
2019-02-01,0.01115661338035484,-0.1680049227808913,1,0,0
2019-03-01,-0.09588938886855906,-0.08688475756496662,0,0,1
2019-04-01,-0.0986638876900911,-0.06264780112393198,0,0,1
2019-05-01,-0.01617408488703539,-0.061375728168082816,0,0,1
2019-06-01,-0.0011247796672511081,-0.12713264475596245,0,0,1
2019-07-01,-0.019963694439562852,-0.09597179336816992,0,0,1
2019-08-01,-0.0774739188371912,-0.0849745653415243,0,0,1
2019-09-01,-0.08938258552540526,-0.008858926143341671,0,0,1
2019-10-01,0.047594049578880845,0.07116160610222795,1,1,1
2019-11-01,-0.02956872354862511,-0.0626515728272196,0,0,1
2019-12-01,-0.08449918024566624,-0.0449808857190953,0,0,1
2020-01-01,-0.04589751478975954,-0.0197162462495944,0,0,1
2020-02-01,-0.014742062869549464,-0.03350977187515576,0,0,1
2020-03-01,-0.011219849990021393,-0.05177945998568789,0,0,1
2020-04-01,-0.039441558204148755,-0.1341176180962593,0,0,1
2020-05-01,0.03358631424447439,-0.04372104812345831,1,0,0
2020-07-01,0.09009496276948206,-0.024986883890004013,1,0,0
2020-08-01,0.006582116314820834,-0.044173195962054004,1,0,0
2020-09-01,-0.0062485049689409026,-0.008728011481571988,0,0,1
2020-10-01,0.16538063034504308,0.06330131025077884,1,1,1
2020-11-01,0.19460077140800797,0.07859937648657739,1,1,1
2020-12-01,-0.027097347881428535,0.15652256344962143,0,1,0
2021-01-01,-0.1731737123099077,0.03632766256431607,0,1,0
2021-02-01,-0.007610748813801693,0.06678508206976144,0,1,0
2021-03-01,-0.0038391895167317696,0.06514156446421304,0,1,0
2021-04-01,-0.0026157294557012274,-0.040473035141346585,0,0,1
2021-05-01,0.09620212901253183,0.00012524592383824154,1,1,1
2021-06-01,-0.031110344640052884,0.10227330395934235,0,1,0
2021-07-01,0.09955744204209134,0.19617511591753753,1,1,1
2021-08-01,0.05248589794345712,-0.0966413592349246,1,0,0
2021-09-01,0.07825448430493116,-0.05787803842625121,1,0,0
2021-10-01,0.2021806961511354,0.06296311446540143,1,1,1
2021-11-01,0.06778391571217558,-0.027896470340005648,1,0,0
2021-12-01,-0.001290970558696751,-0.057201644262553836,0,0,1
2022-01-01,-0.012773726859160572,-0.0034568364123986144,0,0,1
2022-03-01,0.06444116437363313,-0.06493019412791783,1,0,0
2022-04-01,0.07439630608163625,-0.25774984255148303,1,0,0
2022-05-01,0.032952301138518096,0.09365991620360962,1,1,1
2022-06-01,-0.026322283338105237,0.11866690578232401,0,1,0
2022-07-01,-0.05322061921987457,0.29373260290102354,0,1,0
2022-08-01,-0.058794016141210964,0.01539743697672228,0,1,0
2022-09-01,-0.0058013215640866245,-0.18508589074380094,0,0,1
2022-10-01,0.2583988887896025,-0.05525858590575164,1,0,0
2022-11-01,0.019477690804329924,0.0826116023361172,1,1,1
2022-12-01,-0.14518981966547537,0.021118259236033787,0,1,0
2023-01-01,0.1730832600592927,-0.1531862346555442,1,0,0
2023-02-01,0.06330117266460111,-0.025662950458163053,1,0,0
2023-03-01,0.03761427040747765,0.039784965136240746,1,1,1
2023-04-01,-0.06273285678775187,-0.09692796627263506,0,0,1
