date,actual,predicted,actual_direction,pred_direction,correct_direction
2015-05-01,0.004863451038116627,-0.01594440013354129,1,0,0
2015-06-01,-0.038183887321660066,0.08789744306613187,0,1,0
2015-07-01,0.03669124960448809,-0.08529514688195765,1,0,0
2015-08-01,0.017065274753622697,0.050218788976420854,1,1,1
2015-09-01,-0.0563628603595978,0.014452501191172735,0,1,0
2015-10-01,0.012826414564620192,-0.07056035029717078,1,0,0
2015-11-01,-0.06204959179581237,0.0029211717675750306,0,1,0
2016-07-01,-0.030363317464419212,-0.0029406747306335093,0,0,1
2016-08-01,0.07110379356826038,-0.03142880985111822,1,0,0
2016-09-01,0.001737619898540878,0.05819370708420135,1,1,1
2016-10-01,0.056473862458477575,0.01721647052413835,1,1,1
2016-11-01,0.16700296664585243,0.04288622982809838,1,1,1
2016-12-01,0.09304954079575976,0.13362248100976004,1,1,1
2017-09-01,0.10601434683565841,0.03031070688116696,1,1,1
2017-10-01,0.051622107698652824,0.10579317047412645,1,1,1
2017-11-01,-0.07439647953613952,0.08782475432963116,0,1,0
2017-12-01,-0.090359328022177,-0.07944908676597376,0,0,1
2018-01-01,0.030224738645035783,-0.08168232211563534,1,0,0
2018-02-01,0.07835351481048101,0.01327065735484954,1,1,1
2018-03-01,0.08389866547778128,0.08046606600142027,1,1,1
2018-04-01,-0.1286473705871278,0.08536894639263816,0,1,0
2018-05-01,0.11531656769568308,-0.1230087655903904,1,0,0
2018-06-01,-0.14188207444654383,0.1110542312592931,0,1,0
2018-07-01,-0.07533732494164536,-0.12265745214143242,0,0,1
2018-08-01,0.04577827284841917,-0.06073281375861998,1,0,0
2018-10-01,-0.06901952566598349,0.008334814574167737,0,1,0
2018-11-01,-0.03994174840794554,-0.07137772371424221,0,0,1
2018-12-01,-0.11354393812226476,-0.02484915240347675,0,0,1
2019-01-01,-0.10642821647247157,-0.10066779149245797,0,0,1
2019-02-01,0.01115661338035484,-0.10514482145062862,1,0,0
2019-03-01,-0.09588938886855906,-0.00117200081644497,0,0,1
2019-04-01,-0.0986638876900911,-0.10509585171353884,0,0,1
2019-05-01,-0.01617408488703539,-0.040142106058045274,0,0,1
2019-06-01,-0.0011247796672511081,-0.08018467822707091,0,0,1
2019-07-01,-0.019963694439562852,0.022889154035465258,0,1,0
2019-08-01,-0.0774739188371912,0.008167768727148757,0,1,0
2019-09-01,-0.08938258552540526,-0.08336245444021717,0,0,1
2019-10-01,0.047594049578880845,-0.07434689051483348,1,0,0
2019-11-01,-0.02956872354862511,0.016169456805522335,0,1,0
2019-12-01,-0.08449918024566624,-0.059758552342678524,0,0,1
2020-01-01,-0.04589751478975954,-0.06278846255021478,0,0,1
2020-02-01,-0.014742062869549464,-0.05216291654883177,0,0,1
2020-03-01,-0.011219849990021393,-0.062278980490326916,0,0,1
2020-04-01,-0.039441558204148755,-0.09516029826280381,0,0,1
2020-05-01,0.03358631424447439,0.06195813523479679,1,1,1
2020-07-01,0.09009496276948206,-0.04400959772874294,1,0,0
2020-08-01,0.006582116314820834,0.04791797243398951,1,1,1
2020-09-01,-0.0062485049689409026,-0.021254904696508987,0,0,1
2020-10-01,0.16538063034504308,0.027729463626468807,1,1,1
2020-11-01,0.19460077140800797,0.13423613746435265,1,1,1
2020-12-01,-0.027097347881428535,0.10094034336789602,0,1,0
2021-01-01,-0.1731737123099077,-0.03276040089168124,0,0,1
2021-02-01,-0.007610748813801693,-0.11511355415159981,0,0,1
