date,actual,predicted,actual_direction,pred_direction,correct_direction
2015-05-01,0.004863451038116627,-0.001964739913478161,1,0,0
2015-06-01,-0.038183887321660066,0.011206186291863988,0,1,0
2015-07-01,0.03669124960448809,-0.01939280613083707,1,0,0
2015-08-01,0.017065274753622697,0.010893103234417896,1,1,1
2015-09-01,-0.0563628603595978,0.02704700889807128,0,1,0
2015-10-01,0.012826414564620192,-0.036635026626979934,1,0,0
2015-11-01,-0.06204959179581237,-0.022836389343952886,0,0,1
2016-07-01,-0.030363317464419212,0.1354839053172567,0,1,0
2016-08-01,0.07110379356826038,0.00018692374854628862,1,1,1
2016-09-01,0.001737619898540878,0.04808812567085838,1,1,1
2016-10-01,0.056473862458477575,0.026284881841741135,1,1,1
2016-11-01,0.16700296664585243,0.03770050440402837,1,1,1
2016-12-01,0.09304954079575976,0.09444957230083838,1,1,1
2017-09-01,0.10601434683565841,0.06286046849528124,1,1,1
2017-10-01,0.051622107698652824,0.07535004003186989,1,1,1
2017-11-01,-0.07439647953613952,0.07650884756297703,0,1,0
2017-12-01,-0.090359328022177,-0.0211318788105884,0,0,1
2018-01-01,0.030224738645035783,-0.04993556047273433,1,0,0
2018-02-01,0.07835351481048101,0.008058102107962907,1,1,1
2018-03-01,0.08389866547778128,-0.03718683531900571,1,0,0
2018-04-01,-0.1286473705871278,-0.01706300488343889,0,0,1
2018-05-01,0.11531656769568308,-0.09422501767275235,1,0,0
2018-06-01,-0.14188207444654383,0.015793530559778994,0,1,0
2018-07-01,-0.07533732494164536,-0.044771107718809953,0,0,1
2018-08-01,0.04577827284841917,-0.08976636148323393,1,0,0
2018-10-01,-0.06901952566598349,-0.030130932696373874,0,0,1
2018-11-01,-0.03994174840794554,-0.038589334920694204,0,0,1
2018-12-01,-0.11354393812226476,-0.06751531944554683,0,0,1
2019-01-01,-0.10642821647247157,-0.11254867126482472,0,0,1
2019-02-01,0.01115661338035484,-0.11281012880510162,1,0,0
2019-03-01,-0.09588938886855906,-0.03919804960470341,0,0,1
2019-04-01,-0.0986638876900911,-0.1050694812039196,0,0,1
2019-05-01,-0.01617408488703539,-0.038037138990658734,0,0,1
2019-06-01,-0.0011247796672511081,-0.051285497277251124,0,0,1
2019-07-01,-0.019963694439562852,-0.019195202625676547,0,0,1
2019-08-01,-0.0774739188371912,-0.009349347015493763,0,0,1
2019-09-01,-0.08938258552540526,-0.048782249341887254,0,0,1
2019-10-01,0.047594049578880845,-0.03934924487300546,1,0,0
2019-11-01,-0.02956872354862511,-0.028486030815940762,0,0,1
2019-12-01,-0.08449918024566624,-0.02861647480972079,0,0,1
2020-01-01,-0.04589751478975954,-0.03273945924015636,0,0,1
2020-02-01,-0.014742062869549464,-0.006615740692302157,0,0,1
2020-03-01,-0.011219849990021393,-0.004988036487476517,0,0,1
2020-04-01,-0.039441558204148755,-0.043464635844116556,0,0,1
2020-05-01,0.03358631424447439,-0.029672346985331197,1,0,0
2020-07-01,0.09009496276948206,0.024970787033669194,1,1,1
2020-08-01,0.006582116314820834,0.055927229279040515,1,1,1
2020-09-01,-0.0062485049689409026,0.025636621980564028,0,1,0
2020-10-01,0.16538063034504308,0.025678577621046163,1,1,1
2020-11-01,0.19460077140800797,0.09723376690117605,1,1,1
2020-12-01,-0.027097347881428535,0.1337795359301376,0,1,0
2021-01-01,-0.1731737123099077,0.035233664547209095,0,1,0
2021-02-01,-0.007610748813801693,-0.09570855906470256,0,0,1
2021-03-01,-0.0038391895167317696,-0.04818938160165948,0,0,1
2021-04-01,-0.0026157294557012274,-0.08406094838675408,0,0,1
2021-05-01,0.09620212901253183,-0.01440022261404923,1,0,0
2021-06-01,-0.031110344640052884,0.03736111670254722,0,1,0
2021-07-01,0.09955744204209134,0.0517590302115279,1,1,1
2021-08-01,0.05248589794345712,0.06835705644140672,1,1,1
2021-09-01,0.07825448430493116,0.02439059573601933,1,1,1
2021-10-01,0.2021806961511354,0.0372109253991093,1,1,1
2021-11-01,0.06778391571217558,0.11013701004811349,1,1,1
2021-12-01,-0.001290970558696751,0.002127612739852669,0,1,0
2022-01-01,-0.012773726859160572,0.027103814655518896,0,1,0
2022-03-01,0.06444116437363313,0.0011215285253725993,1,1,1
2022-04-01,0.07439630608163625,-0.028490792615078888,1,0,0
2022-05-01,0.032952301138518096,0.03734623908003682,1,1,1
2022-06-01,-0.026322283338105237,0.0655755624471856,0,1,0
2022-07-01,-0.05322061921987457,-0.009842301640426314,0,0,1
2022-08-01,-0.058794016141210964,-0.03528412615061348,0,0,1
2022-09-01,-0.0058013215640866245,-0.06835395815460436,0,0,1
2022-10-01,0.2583988887896025,-0.03069816527133424,1,0,0
2022-11-01,0.019477690804329924,0.19747709457647505,1,1,1
2022-12-01,-0.14518981966547537,0.008442543207252136,0,1,0
2023-01-01,0.1730832600592927,-0.09682224766384896,1,0,0
2023-02-01,0.06330117266460111,0.09387754348635326,1,1,1
2023-03-01,0.03761427040747765,0.07653827354528747,1,1,1
2023-04-01,-0.06273285678775187,0.04026596684217624,0,1,0
2023-05-01,-0.14420244456398204,-0.03484851109048641,0,0,1
2023-06-01,-0.0642426084976448,-0.04539256202162667,0,0,1
2023-07-01,-0.09879581240345793,-0.021179127910755095,0,0,1
2023-08-01,-0.10673689094200821,-0.06795137556139204,0,0,1
2023-09-01,-0.10376722717737616,-0.08820028561437541,0,0,1
2023-10-01,-0.11897555798212824,-0.041964342128495244,0,0,1
2023-12-01,0.05713083873224731,-0.061717993363538066,1,0,0
2024-01-01,-0.012729300483650634,0.014687099725389837,0,1,0
2024-02-01,-0.07147718836166536,-0.020068408572837773,0,0,1
2024-03-01,0.007546787343390547,-0.0600117689314377,1,0,0
2024-04-01,0.025512190334984537,-0.020677587193081444,1,0,0
2024-05-01,-0.037286724457313715,-0.006649867331482035,0,0,1
2024-06-01,-0.02475569945390325,0.044808178203982876,0,1,0
2024-07-01,-0.03393808591888599,0.029262415149031346,0,1,0
2024-08-01,0.033642153083933195,-0.026700764455307884,1,0,0
2024-09-01,0.04819075691885017,0.016884132379492565,1,1,1
2024-10-01,-0.02526438526158675,0.06305879459942598,0,1,0
2024-11-01,-0.023833808401943265,0.0710839178411217,0,1,0
2024-12-01,0.06306636497020501,0.04746893251967672,1,1,1
2025-01-01,-0.005163367832952549,0.03245796112110474,0,1,0
2025-02-01,0.019434562151746385,0.11381720261269944,1,1,1
2025-03-01,0.03563133482955318,0.03368853792311362,1,1,1
2025-04-01,0.09462866096903622,0.0376006706285652,1,1,1
2025-05-01,0.10135127808305351,0.058421420524756934,1,1,1
2025-06-01,-0.016618882148760852,0.06588562576470743,0,1,0
2025-08-01,-0.002750365174645348,-0.006239506426598218,0,0,1
2025-09-01,0.053253257816776194,0.030106061009503797,1,1,1
2025-10-01,0.09336907579019116,0.039768589738535455,1,1,1
