date,actual,predicted,actual_direction,pred_direction,correct_direction
2015-05-01,0.004863451038116627,-0.018945584901340684,1,0,0
2015-06-01,-0.038183887321660066,0.03722859848603769,0,1,0
2015-07-01,0.03669124960448809,-0.05851704420181278,1,0,0
2015-08-01,0.017065274753622697,0.053981813908090454,1,1,1
2015-09-01,-0.0563628603595978,0.02625830924744014,0,1,0
2015-10-01,0.012826414564620192,-0.06156731872655733,1,0,0
2015-11-01,-0.06204959179581237,0.009606898016466327,0,1,0
2016-07-01,-0.030363317464419212,-0.001802328983557912,0,0,1
2016-08-01,0.07110379356826038,-0.027501982021561178,1,0,0
2016-09-01,0.001737619898540878,0.05676728448204989,1,1,1
2016-10-01,0.056473862458477575,0.020075855871295244,1,1,1
2016-11-01,0.16700296664585243,0.04624275883674128,1,1,1
2016-12-01,0.09304954079575976,0.14010063996792704,1,1,1
2017-09-01,0.10601434683565841,0.04171746875251285,1,1,1
2017-10-01,0.051622107698652824,0.10769952646493189,1,1,1
2017-11-01,-0.07439647953613952,0.06608370118603829,0,1,0
2017-12-01,-0.090359328022177,-0.08077271559368948,0,0,1
2018-01-01,0.030224738645035783,-0.07049785536569034,1,0,0
2018-02-01,0.07835351481048101,0.022236255876883257,1,1,1
2018-03-01,0.08389866547778128,0.03765068974743656,1,1,1
2018-04-01,-0.1286473705871278,0.04443943615442701,0,1,0
2018-05-01,0.11531656769568308,-0.13333605372922538,1,0,0
2018-06-01,-0.14188207444654383,0.11050143645355152,0,1,0
2018-07-01,-0.07533732494164536,-0.0387273326090896,0,0,1
2018-08-01,0.04577827284841917,-0.1057904231307671,1,0,0
2018-10-01,-0.06901952566598349,0.021093329074452785,0,1,0
2018-11-01,-0.03994174840794554,-0.07702793455691052,0,0,1
2018-12-01,-0.11354393812226476,-0.01734426336326453,0,0,1
2019-01-01,-0.10642821647247157,-0.10405254556655506,0,0,1
2019-02-01,0.01115661338035484,-0.11340783195071372,1,0,0
2019-03-01,-0.09588938886855906,0.005556791572389824,0,1,0
2019-04-01,-0.0986638876900911,-0.11336080173629061,0,0,1
2019-05-01,-0.01617408488703539,-0.06499947237555605,0,0,1
2019-06-01,-0.0011247796672511081,-0.05852946649990695,0,0,1
2019-07-01,-0.019963694439562852,0.015804133180858965,0,1,0
2019-08-01,-0.0774739188371912,0.00579666124977303,0,1,0
2019-09-01,-0.08938258552540526,-0.0808354068875078,0,0,1
2019-10-01,0.047594049578880845,-0.06769064096788441,1,0,0
2019-11-01,-0.02956872354862511,0.0271434511903481,0,1,0
