date,actual,predicted,actual_direction,pred_direction,correct_direction
2015-05-01,0.004863451038116627,0.027784316752538566,1,1,1
2015-06-01,-0.038183887321660066,0.03129888484742413,0,1,0
2015-07-01,0.03669124960448809,-0.011256256300675798,1,0,0
2015-08-01,0.017065274753622697,0.006310426094241155,1,1,1
2015-09-01,-0.0563628603595978,0.010915278874003356,0,1,0
2015-10-01,0.012826414564620192,-0.009743942017772797,1,0,0
2015-11-01,-0.06204959179581237,-0.0001859612942648769,0,0,1
2016-07-01,-0.030363317464419212,0.052174591704972434,0,1,0
2016-08-01,0.07110379356826038,0.01852481389563648,1,1,1
2016-09-01,0.001737619898540878,0.03047012826621594,1,1,1
2016-10-01,0.056473862458477575,0.012355275821027922,1,1,1
2016-11-01,0.16700296664585243,0.03169197559002972,1,1,1
2016-12-01,0.09304954079575976,0.08897711228946065,1,1,1
2017-09-01,0.10601434683565841,0.08025768414222274,1,1,1
2017-10-01,0.051622107698652824,0.09431084253981596,1,1,1
2017-11-01,-0.07439647953613952,0.08478479739224283,0,1,0
2017-12-01,-0.090359328022177,0.025935909368023972,0,1,0
2018-01-01,0.030224738645035783,-0.010351165626418914,1,0,0
2018-02-01,0.07835351481048101,0.002137239024864197,1,1,1
2018-03-01,0.08389866547778128,0.02890207612019591,1,1,1
2018-04-01,-0.1286473705871278,0.08598492583679233,0,1,0
2018-05-01,0.11531656769568308,0.007128600382958677,1,1,1
2018-06-01,-0.14188207444654383,0.05057317794535165,0,1,0
2018-07-01,-0.07533732494164536,-0.034240821131351774,0,0,1
2018-08-01,0.04577827284841917,-0.05450489734696163,1,0,0
2018-10-01,-0.06901952566598349,-0.032418374817682734,0,0,1
2018-11-01,-0.03994174840794554,-0.03996011433580215,0,0,1
2018-12-01,-0.11354393812226476,-0.0331867514367685,0,0,1
2019-01-01,-0.10642821647247157,-0.07373357910238332,0,0,1
2019-02-01,0.01115661338035484,-0.08770233256328894,1,0,0
2019-03-01,-0.09588938886855906,-0.0468899662666944,0,0,1
2019-04-01,-0.0986638876900911,-0.0823383594756652,0,0,1
2019-05-01,-0.01617408488703539,-0.08452728521506739,0,0,1
2019-06-01,-0.0011247796672511081,-0.04411009313115574,0,0,1
2019-07-01,-0.019963694439562852,-0.02136570348370455,0,0,1
2019-08-01,-0.0774739188371912,-0.012789792768135178,0,0,1
2019-09-01,-0.08938258552540526,-0.04309585908521538,0,0,1
2019-10-01,0.047594049578880845,-0.07754405583284614,1,0,0
2019-11-01,-0.02956872354862511,-0.047498083231828345,0,0,1
2019-12-01,-0.08449918024566624,-0.0654827784346473,0,0,1
2020-01-01,-0.04589751478975954,-0.07147072080794103,0,0,1
2020-02-01,-0.014742062869549464,-0.043156435285979566,0,0,1
2020-03-01,-0.011219849990021393,-0.03393024592348848,0,0,1
2020-04-01,-0.039441558204148755,-0.02973289246754904,0,0,1
2020-05-01,0.03358631424447439,-0.03374186550376039,1,0,0
2020-07-01,0.09009496276948206,-0.03859461870585182,1,0,0
2020-08-01,0.006582116314820834,0.00409412995293074,1,1,1
2020-09-01,-0.0062485049689409026,0.023415635491044876,0,1,0
2020-10-01,0.16538063034504308,0.05474990604829894,1,1,1
2020-11-01,0.19460077140800797,0.10884827342399143,1,1,1
2020-12-01,-0.027097347881428535,0.13338601288194057,0,1,0
2021-01-01,-0.1731737123099077,0.04806836157089487,0,1,0
2021-02-01,-0.007610748813801693,-0.044937795928215986,0,0,1
2021-03-01,-0.0038391895167317696,-0.01724890746198437,0,0,1
2021-04-01,-0.0026157294557012274,-0.007341569914997007,0,0,1
2021-05-01,0.09620212901253183,-0.0344495431942306,1,0,0
2021-06-01,-0.031110344640052884,0.023071263243219422,0,1,0
2021-07-01,0.09955744204209134,0.004698370870154066,1,1,1
2021-08-01,0.05248589794345712,0.05918505858250774,1,1,1
2021-09-01,0.07825448430493116,0.05462997947390324,1,1,1
2021-10-01,0.2021806961511354,0.05901307189153176,1,1,1
