date,actual,predicted,actual_direction,pred_direction,correct_direction
2015-05-01,0.004863451038116627,0.01897975994226158,1,1,1
2015-06-01,-0.038183887321660066,0.02329013891403705,0,1,0
2015-07-01,0.03669124960448809,0.02052137226710224,1,1,1
2015-08-01,0.017065274753622697,0.018446894051272235,1,1,1
2015-09-01,-0.0563628603595978,0.01239669114241204,0,1,0
2015-10-01,0.012826414564620192,0.004942665247469722,1,1,1
2015-11-01,-0.06204959179581237,-0.00789339177147058,0,0,1
2016-07-01,-0.030363317464419212,0.053372958837909795,0,1,0
2016-08-01,0.07110379356826038,0.03136329084239331,1,1,1
2016-09-01,0.001737619898540878,0.04172500497146431,1,1,1
2016-10-01,0.056473862458477575,0.02523817570780963,1,1,1
2016-11-01,0.16700296664585243,0.01904912109714169,1,1,1
2016-12-01,0.09304954079575976,0.04200526077422066,1,1,1
2017-09-01,0.10601434683565841,0.08854688418502865,1,1,1
2017-10-01,0.051622107698652824,0.08983188172595291,1,1,1
2017-11-01,-0.07439647953613952,0.08149003143722709,0,1,0
2017-12-01,-0.090359328022177,0.06459551428836348,0,1,0
2018-01-01,0.030224738645035783,0.029161120560919285,1,1,1
2018-02-01,0.07835351481048101,0.029632861555205867,1,1,1
2018-03-01,0.08389866547778128,0.04115115399719403,1,1,1
2018-04-01,-0.1286473705871278,0.04627046391518039,0,1,0
2018-05-01,0.11531656769568308,0.02050610186441203,1,1,1
2018-06-01,-0.14188207444654383,0.034626902331846544,0,1,0
2018-07-01,-0.07533732494164536,0.009477310107108883,0,1,0
2018-08-01,0.04577827284841917,-0.022979788220183966,1,0,0
2018-10-01,-0.06901952566598349,-0.027658932030648634,0,0,1
2018-11-01,-0.03994174840794554,-0.05202205980886645,0,0,1
2018-12-01,-0.11354393812226476,-0.06767451073533898,0,0,1
2019-01-01,-0.10642821647247157,-0.08555543749751156,0,0,1
2019-02-01,0.01115661338035484,-0.08410111680772421,1,0,0
2019-03-01,-0.09588938886855906,-0.05897976850510813,0,0,1
2019-04-01,-0.0986638876900911,-0.06042033263343332,0,0,1
2019-05-01,-0.01617408488703539,-0.06438108129615498,0,0,1
2019-06-01,-0.0011247796672511081,-0.06376427222225892,0,0,1
2019-07-01,-0.019963694439562852,-0.0602280279716759,0,0,1
2019-08-01,-0.0774739188371912,-0.05437702468287277,0,0,1
2019-09-01,-0.08938258552540526,-0.057755301084763656,0,0,1
2019-10-01,0.047594049578880845,-0.060870866295697976,1,0,0
2019-11-01,-0.02956872354862511,-0.05778772511954278,0,0,1
2019-12-01,-0.08449918024566624,-0.04800633450070784,0,0,1
2020-01-01,-0.04589751478975954,-0.046483857579300895,0,0,1
2020-02-01,-0.014742062869549464,-0.03336431441911234,0,0,1
2020-03-01,-0.011219849990021393,-0.024449014702431972,0,0,1
2020-04-01,-0.039441558204148755,-0.023463210226125214,0,0,1
2020-05-01,0.03358631424447439,-0.02728110357904387,1,0,0
2020-07-01,0.09009496276948206,-0.02604959179014086,1,0,0
2020-08-01,0.006582116314820834,-0.014202644488514243,1,0,0
2020-09-01,-0.0062485049689409026,-0.012099985381740081,0,0,1
2020-10-01,0.16538063034504308,-0.0028287549159924695,1,0,0
2020-11-01,0.19460077140800797,0.026410283291773747,1,1,1
2020-12-01,-0.027097347881428535,0.06925991520644419,0,1,0
2021-01-01,-0.1731737123099077,0.06762008934395392,0,1,0
2021-02-01,-0.007610748813801693,0.027049426000296917,0,1,0
2021-03-01,-0.0038391895167317696,0.01458492960343438,0,1,0
2021-04-01,-0.0026157294557012274,0.013819384772524135,0,1,0
2021-05-01,0.09620212901253183,0.016640078586820567,1,1,1
2021-06-01,-0.031110344640052884,0.0448750413850044,0,1,0
2021-07-01,0.09955744204209134,0.04560718572393284,1,1,1
2021-08-01,0.05248589794345712,0.05028974143459354,1,1,1
2021-09-01,0.07825448430493116,0.03308207379524972,1,1,1
2021-10-01,0.2021806961511354,0.03641340320427979,1,1,1
2021-11-01,0.06778391571217558,0.05214491787201236,1,1,1
2021-12-01,-0.001290970558696751,0.03659816852822364,0,1,0
2022-01-01,-0.012773726859160572,0.018416154262097084,0,1,0
2022-03-01,0.06444116437363313,0.010536503969443306,1,1,1
2022-04-01,0.07439630608163625,0.028454248249750794,1,1,1
2022-05-01,0.032952301138518096,0.04629122065178805,1,1,1
2022-06-01,-0.026322283338105237,0.05201126574711158,0,1,0
2022-07-01,-0.05322061921987457,0.032574866902904724,0,1,0
2022-08-01,-0.058794016141210964,0.0009262983633992753,0,1,0
2022-09-01,-0.0058013215640866245,-0.027145594595159993,0,0,1
2022-10-01,0.2583988887896025,-0.03762405343058915,1,0,0
2022-11-01,0.019477690804329924,0.001999907562958896,1,1,1
