date,actual,predicted,actual_direction,pred_direction,correct_direction
2015-05-01,0.004863451038116627,-0.017409405365564342,1,0,0
2015-06-01,-0.038183887321660066,0.0038067932150073975,0,1,0
2015-07-01,0.03669124960448809,0.01014938027710312,1,1,1
2015-08-01,0.017065274753622697,0.0070340695055957055,1,1,1
2015-09-01,-0.0563628603595978,-0.006836985292665851,0,0,1
2015-10-01,0.012826414564620192,-0.037074948955709314,1,0,0
2015-11-01,-0.06204959179581237,-0.03582739373159851,0,0,1
2016-07-01,-0.030363317464419212,0.07642956127590782,0,1,0
2016-08-01,0.07110379356826038,0.05470004585194779,1,1,1
2016-09-01,0.001737619898540878,0.06663993730129178,1,1,1
2016-10-01,0.056473862458477575,0.04853189417964715,1,1,1
2016-11-01,0.16700296664585243,0.03411149451210702,1,1,1
2016-12-01,0.09304954079575976,0.05039931162943914,1,1,1
2017-09-01,0.10601434683565841,0.04662125575092395,1,1,1
2017-10-01,0.051622107698652824,0.06901016337375068,1,1,1
2017-11-01,-0.07439647953613952,0.06822241791991167,0,1,0
2017-12-01,-0.090359328022177,0.028345975756865878,0,1,0
2018-01-01,0.030224738645035783,-0.03566234395007002,1,0,0
2018-02-01,0.07835351481048101,-0.0198145935187883,1,0,0
2018-03-01,0.08389866547778128,-0.004918129520234347,1,0,0
2018-04-01,-0.1286473705871278,-0.006270223296741177,0,0,1
2018-05-01,0.11531656769568308,-0.059411636251896986,1,0,0
2018-06-01,-0.14188207444654383,-0.012667030176313161,0,0,1
2018-07-01,-0.07533732494164536,-0.04581103038545725,0,0,1
2018-08-01,0.04577827284841917,-0.0658352595267888,1,0,0
2018-10-01,-0.06901952566598349,-0.06604855999795382,0,0,1
2018-11-01,-0.03994174840794554,-0.08053029808577526,0,0,1
2018-12-01,-0.11354393812226476,-0.09088842501584841,0,0,1
2019-01-01,-0.10642821647247157,-0.10256069765804536,0,0,1
2019-02-01,0.01115661338035484,-0.09702300085192146,1,0,0
2019-03-01,-0.09588938886855906,-0.06240802480397832,0,0,1
2019-04-01,-0.0986638876900911,-0.06654267038566371,0,0,1
2019-05-01,-0.01617408488703539,-0.06734365881833876,0,0,1
2019-06-01,-0.0011247796672511081,-0.054071826911037714,0,0,1
2019-07-01,-0.019963694439562852,-0.043078631100200576,0,0,1
2019-08-01,-0.0774739188371912,-0.04192477305678863,0,0,1
2019-09-01,-0.08938258552540526,-0.05016441878169916,0,0,1
2019-10-01,0.047594049578880845,-0.05368540820328563,1,0,0
2019-11-01,-0.02956872354862511,-0.04772940838252891,0,0,1
2019-12-01,-0.08449918024566624,-0.03365316717063956,0,0,1
2020-01-01,-0.04589751478975954,-0.03560296986662408,0,0,1
2020-02-01,-0.014742062869549464,-0.02024010409434267,0,0,1
2020-03-01,-0.011219849990021393,-0.007335415442611973,0,0,1
2020-04-01,-0.039441558204148755,-0.008845862403212914,0,0,1
2020-05-01,0.03358631424447439,-0.013176646442289266,1,0,0
2020-07-01,0.09009496276948206,0.021083878882180485,1,1,1
2020-08-01,0.006582116314820834,0.03833694692121674,1,1,1
2020-09-01,-0.0062485049689409026,0.03239619394170838,0,1,0
2020-10-01,0.16538063034504308,0.028632059903820277,1,1,1
2020-11-01,0.19460077140800797,0.04840598659194058,1,1,1
2020-12-01,-0.027097347881428535,0.08041615578471849,0,1,0
2021-01-01,-0.1731737123099077,0.06668497120260382,0,1,0
