date,actual,predicted,actual_direction,pred_direction,correct_direction
2015-05-01,0.004863451038116627,-0.011596823890428678,1,0,0
2015-06-01,-0.038183887321660066,0.011407938307681581,0,1,0
2015-07-01,0.03669124960448809,-0.07504344128948538,1,0,0
2015-08-01,0.017065274753622697,0.0386994469158292,1,1,1
2015-09-01,-0.0563628603595978,0.025276284273906404,0,1,0
2015-10-01,0.012826414564620192,-0.08839317601589658,1,0,0
2015-11-01,-0.06204959179581237,0.030649769408364502,0,1,0
2016-07-01,-0.030363317464419212,0.003969290507801283,0,1,0
2016-08-01,0.07110379356826038,-0.03321035024905856,1,0,0
2016-09-01,0.001737619898540878,0.09510399348704124,1,1,1
2016-10-01,0.056473862458477575,0.007144985941953553,1,1,1
2016-11-01,0.16700296664585243,0.0569724095761528,1,1,1
2016-12-01,0.09304954079575976,0.18954441541789788,1,1,1
2017-09-01,0.10601434683565841,0.04446312077927454,1,1,1
2017-10-01,0.051622107698652824,0.09662460965229262,1,1,1
2017-11-01,-0.07439647953613952,0.01983225707981282,0,1,0
2017-12-01,-0.090359328022177,-0.11447046031463466,0,0,1
2018-01-01,0.030224738645035783,-0.06455947707672494,1,0,0
2018-02-01,0.07835351481048101,0.10611147234415735,1,1,1
2018-03-01,0.08389866547778128,0.08884340396770354,1,1,1
2018-04-01,-0.1286473705871278,0.043049411819808016,0,1,0
2018-05-01,0.11531656769568308,-0.20375292886809032,1,0,0
2018-06-01,-0.14188207444654383,0.11652026279014917,0,1,0
2018-07-01,-0.07533732494164536,-0.09455886145045972,0,0,1
2018-08-01,0.04577827284841917,-0.09646489272093497,1,0,0
2018-10-01,-0.06901952566598349,0.10345989289210071,0,1,0
2018-11-01,-0.03994174840794554,-0.10167319731784527,0,0,1
2018-12-01,-0.11354393812226476,-0.03349359054388238,0,0,1
2019-01-01,-0.10642821647247157,-0.14218673458763442,0,0,1
2019-02-01,0.01115661338035484,-0.12063434450768387,1,0,0
2019-03-01,-0.09588938886855906,0.03432513790999087,0,1,0
2019-04-01,-0.0986638876900911,-0.14587007732272864,0,0,1
2019-05-01,-0.01617408488703539,-0.09543719911760584,0,0,1
2019-06-01,-0.0011247796672511081,0.033275200587348674,0,1,0
2019-07-01,-0.019963694439562852,0.01225587161255705,0,1,0
2019-08-01,-0.0774739188371912,-0.027043188145984734,0,0,1
2019-09-01,-0.08938258552540526,-0.0994441748557714,0,0,1
2019-10-01,0.047594049578880845,-0.1082476578616102,1,0,0
2019-11-01,-0.02956872354862511,0.01726687534308681,0,1,0
2019-12-01,-0.08449918024566624,-0.03211781570362988,0,0,1
2020-01-01,-0.04589751478975954,-0.1097142001619909,0,0,1
2020-02-01,-0.014742062869549464,-0.01516891917804977,0,0,1
2020-03-01,-0.011219849990021393,-0.034295133327438276,0,0,1
2020-04-01,-0.039441558204148755,-0.04953861520271142,0,0,1
2020-05-01,0.03358631424447439,-0.05095351618637824,1,0,0
2020-07-01,0.09009496276948206,-0.03620980493983374,1,0,0
2020-08-01,0.006582116314820834,0.04523803237386853,1,1,1
2020-09-01,-0.0062485049689409026,-0.009104170651614714,0,0,1
2020-10-01,0.16538063034504308,-0.00019292878233740166,1,0,0
2020-11-01,0.19460077140800797,0.20063075627639104,1,1,1
