model,DA,RMSE,MAE,n_predictions,method,feature_set,model_type,result_key
Lasso Regression,0.6509433962264151,0.07779929385993213,0.05936876049115963,106,Raw,with_scfm,lasso,Raw_with_scfm_lasso
Random Forest Regressor,0.6509433962264151,0.07907144900246212,0.05903087959553191,106,Raw,no_scfm,rf_reg,Raw_no_scfm_rf_reg
GBM Regressor,0.6509433962264151,0.08636656184873119,0.06731894650396318,106,Raw,no_scfm,gbm_reg,Raw_no_scfm_gbm_reg
Lasso Regression,0.6320754716981132,0.07797704764535071,0.05973998642255144,106,SVD,with_scfm,lasso,SVD_with_scfm_lasso
Lasso Regression,0.6320754716981132,0.07797704767956212,0.05973998641798808,106,PCA,with_scfm,lasso,PCA_with_scfm_lasso
Random Forest Regressor,0.6320754716981132,0.08154006265285839,0.06117903891429774,106,PCA,no_scfm,rf_reg,PCA_no_scfm_rf_reg
Random Forest Regressor,0.6320754716981132,0.08154006265285839,0.06117903891429774,106,SVD,no_scfm,rf_reg,SVD_no_scfm_rf_reg
GBM Regressor,0.6320754716981132,0.08735487001102094,0.06703540268616848,106,Raw,with_scfm,gbm_reg,Raw_with_scfm_gbm_reg
Decision Tree Regressor,0.6320754716981132,0.092201223893821,0.06987458463496614,106,Raw,no_scfm,dt_reg,Raw_no_scfm_dt_reg
Linear Regression,0.6320754716981132,0.12157599147781979,0.08792813248802411,106,Raw,with_scfm,linear,Raw_with_scfm_linear
KNN Regressor,0.6226415094339622,0.08249992449965038,0.06414634833360178,106,Raw,no_scfm,knn_reg,Raw_no_scfm_knn_reg
Lasso Regression,0.6226415094339622,0.08251859970259598,0.06219482817889027,106,PCA,no_scfm,lasso,PCA_no_scfm_lasso
Lasso Regression,0.6226415094339622,0.08251859970462971,0.06219482818111396,106,SVD,no_scfm,lasso,SVD_no_scfm_lasso
SVM Regressor,0.6226415094339622,0.09608568768209787,0.07337363500516655,106,Raw,no_scfm,svm_reg,Raw_no_scfm_svm_reg
Lasso Regression,0.6132075471698113,0.08120440071108223,0.062079677218230975,106,Raw,no_scfm,lasso,Raw_no_scfm_lasso
